template_id,title_fr,title_ar,title_en,description_fr,description_ar,description_en,type,week_min,week_max,recommended_day,importance_level,country_scope,sources,duration_min,location_hint_fr,location_hint_ar,location_hint_en,prep_instructions_fr,prep_instructions_ar,prep_instructions_en,is_mandatory,doctor_notes_fr,prep_checklist_fr,recommended_week_exact,patient_notes_fr,timing_in_day,estimated_duration_min,reminder_offsets,is_checkable
c01_consultation_mensuelle,Première consultation prénatale,الاستشارة الأولى قبل الولادة,,Rendez-vous important : Première consultation prénatale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,6,10,4.0,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c02_echographie_t1,Échographie de datation,تصوير بالموجات فوق الصوتية لتحديد التاريخ,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,7,12,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c03_bilan_sanguin_t1,Dépistage de la trisomie 21 (T21),فحص متلازمة داون,,Rendez-vous important : Dépistage de la trisomie 21 (T21). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,11,13,any_day,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c04_echographie_t2,Échographie du premier trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الأول,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,11,14,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c05_consultation_mensuelle,Consultation du 4ème mois,استشارة الشهر الرابع,,Rendez-vous important : Consultation du 4ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,14,17,2,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c06_echographie_t2,Échographie du deuxième trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الثاني,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,20,22,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c07_test_diabete,Test de dépistage du diabète gestationnel (HGPO),اختبار سكري الحمل,,Rendez-vous important : Test de dépistage du diabète gestationnel (HGPO). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,24,28,any_day,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Être à jeun (ne rien manger ni boire, sauf de l'eau, depuis la veille au soir).",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c08_consultation_mensuelle,Consultation du 7ème mois,استشارة الشهر السابع,,Rendez-vous important : Consultation du 7ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,28,31,1,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c09_echographie_t3,Échographie du troisième trimestre (Croissance),تصوير بالموجات فوق الصوتية للثلث الثالث,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,32,34,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c10_cours_preparation,Cours de préparation à l'accouchement,دروس التحضير للولادة,,Rendez-vous important : Cours de préparation à l'accouchement. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,30,36,any_day,1,global,"HAS, NHS",60,Maternité ou centre de préparation à la naissance.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-7d,-1d",false
c11_bilan_sanguin_t1,"Bilan sanguin complet (Anémie, Sérologies)",تحليل دم شامل,,"Rendez-vous important : Bilan sanguin complet (Anémie, Sérologies). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.",,,medical,10,14,3,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Être à jeun (sauf indication contraire du médecin).,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c12,Achat des premiers vêtements de bébé,شراء ملابس الطفل الأولى,,Rendez-vous important : Achat des premiers vêtements de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,20,28,any_day,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c13,Installation de la chambre de bébé,تجهيز غرفة الطفل,,Rendez-vous important : Installation de la chambre de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,30,36,any_day,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
