week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url,baby_facts_fr,baby_facts_ar,baby_facts_en,mom_tips_fr,mom_tips_ar,mom_tips_en,weekly_summary_fr,weekly_summary_ar,weekly_summary_en,recommended_videos_ids,baby_facts_short_fr,baby_facts_bullets_fr,mom_tips_short_fr,mom_tips_bullets_fr
1,Semaine 1 – ### La conception,,,🌱,1er,Microscopique,,,0.1,0.1,"Cette semaine marque le début de votre grossesse. L'ovule fécondé, désormais appelé blastocyste, s'implante dans la paroi de votre utérus. C'est un processus microscopique mais fondamental. Les premières cellules qui formeront le placenta et le sac amniotique se mettent en place.",,,"Vous ne ressentez probablement rien de spécifique, si ce n'est l'absence de règles. Vos hormones (HCG) augmentent rapidement, ce qui peut provoquer une légère tension dans les seins et une fatigue inhabituelle. Le test de grossesse est positif : félicitations !",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a02_alimentation_pendant_la,a18_grossesse_et_sexualité",s01_acide_folique,c25,images/baby_week_01.png,,"
* La conception vient d'avoir lieu. Le bébé est encore une minuscule grappe de cellules appelée blastocyste.
* Le sexe du bébé est déjà déterminé par le spermatozoïde.
* L'implantation dans l'utérus est en cours.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,v01_intro_grossesse,La conception vient d'avoir lieu. Le bébé est encore une minuscule grappe de cellules appelée blastocyste.,"
* * La conception vient d'avoir lieu. Le bébé est encore une minuscule grappe de cellules appelée blastocyste.
* * Le sexe du bébé est déjà déterminé par le spermatozoïde.
* * L'implantation dans l'utérus est en cours.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
2,Semaine 2 – ### L'ovulation,,,🌱,1er,Microscopique,,,0.1,0.1,"Cette semaine marque le début de votre grossesse. L'ovule fécondé, désormais appelé blastocyste, s'implante dans la paroi de votre utérus. C'est un processus microscopique mais fondamental. Les premières cellules qui formeront le placenta et le sac amniotique se mettent en place.",,,"Vous ne ressentez probablement rien de spécifique, si ce n'est l'absence de règles. Vos hormones (HCG) augmentent rapidement, ce qui peut provoquer une légère tension dans les seins et une fatigue inhabituelle. Le test de grossesse est positif : félicitations !",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a02_alimentation_pendant_la,a18_grossesse_et_sexualité",s01_acide_folique,c25,images/baby_week_02.png,,"
* Le développement du bébé se poursuit cette semaine 2. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,v01_intro_grossesse,Le développement du bébé se poursuit cette semaine 2. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 2. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
3,Semaine 3 – ### L'implantation,,,🌱,1er,Microscopique,,,0.1,0.1,"Cette semaine marque le début de votre grossesse. L'ovule fécondé, désormais appelé blastocyste, s'implante dans la paroi de votre utérus. C'est un processus microscopique mais fondamental. Les premières cellules qui formeront le placenta et le sac amniotique se mettent en place.",,,"Vous ne ressentez probablement rien de spécifique, si ce n'est l'absence de règles. Vos hormones (HCG) augmentent rapidement, ce qui peut provoquer une légère tension dans les seins et une fatigue inhabituelle. Le test de grossesse est positif : félicitations !",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a02_alimentation_pendant_la",s01_acide_folique,c25,images/baby_week_03.png,,"
* Le développement du bébé se poursuit cette semaine 3. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,v01_intro_grossesse,Le développement du bébé se poursuit cette semaine 3. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 3. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
4,Semaine 4 – ### Le test positif,,,🌱,1er,Graine de pavot (1 mm),,,1.0,0.1,"Cette semaine marque le début de votre grossesse. L'ovule fécondé, désormais appelé blastocyste, s'implante dans la paroi de votre utérus. C'est un processus microscopique mais fondamental. Les premières cellules qui formeront le placenta et le sac amniotique se mettent en place.",,,"Vous ne ressentez probablement rien de spécifique, si ce n'est l'absence de règles. Vos hormones (HCG) augmentent rapidement, ce qui peut provoquer une légère tension dans les seins et une fatigue inhabituelle. Le test de grossesse est positif : félicitations !",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a04_nausées_matinales",s01_acide_folique,"c01_consultation_mensuelle,c25",images/baby_week_04.png,,"
* Le développement du bébé se poursuit cette semaine 4. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,v01_intro_grossesse,Le développement du bébé se poursuit cette semaine 4. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 4. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
5,Semaine 5 – ### Le cœur qui bat,,,🫘,1er,Graine de sésame (2 mm),,,2.0,0.1,"L'embryon prend la forme d'un petit têtard. Le tube neural, qui deviendra le cerveau et la moelle épinière, commence à se fermer. Surtout, le cœur primitif commence à battre, bien que de manière irrégulière au début. C'est un moment clé du développement.",,,Les nausées matinales et la fatigue intense sont à leur apogée. Vos seins sont plus sensibles et peuvent avoir des veines plus apparentes. Les changements d'humeur sont fréquents en raison des bouleversements hormonaux. C'est le moment de vous reposer dès que possible.,,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c01_consultation_mensuelle,c15",images/baby_week_05.png,,"
* L'embryon est de la taille d'un grain de riz. Son cœur commence à battre et à pomper le sang.
* Le tube neural, qui deviendra le cerveau et la moelle épinière, se ferme.
* Les bourgeons des bras et des jambes apparaissent.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,"v02_alimentation_t1,v13_mouvements_bebe",L'embryon est de la taille d'un grain de riz. Son cœur commence à battre et à pomper le sang.,"
* * L'embryon est de la taille d'un grain de riz. Son cœur commence à battre et à pomper le sang.
* * Le tube neural, qui deviendra le cerveau et la moelle épinière, se ferme.
* * Les bourgeons des bras et des jambes apparaissent.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
6,Semaine 6 – ### Les premiers organes,,,🫘,1er,Lentille (4 mm),,,4.0,1.0,"Les principaux organes se forment rapidement (organogenèse). Le cerveau se développe à un rythme incroyable. De minuscules bourgeons apparaissent, qui deviendront les bras et les jambes. L'embryon mesure environ 1,6 cm à la fin de cette période. Il est très vulnérable aux facteurs extérieurs.",,,Les nausées matinales et la fatigue intense sont à leur apogée. Vos seins sont plus sensibles et peuvent avoir des veines plus apparentes. Les changements d'humeur sont fréquents en raison des bouleversements hormonaux. C'est le moment de vous reposer dès que possible.,,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a03_examens_médicaux_pendant,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c01_consultation_mensuelle,c02_echographie_t1,c15",images/baby_week_06.png,,"
* Le développement du bébé se poursuit cette semaine 6. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,,Le développement du bébé se poursuit cette semaine 6. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 6. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
7,Semaine 7 – ### Le développement cérébral,,,🫘,1er,Myrtille (8 mm),,,8.0,1.0,"Les principaux organes se forment rapidement (organogenèse). Le cerveau se développe à un rythme incroyable. De minuscules bourgeons apparaissent, qui deviendront les bras et les jambes. L'embryon mesure environ 1,6 cm à la fin de cette période. Il est très vulnérable aux facteurs extérieurs.",,,Les nausées matinales et la fatigue intense sont à leur apogée. Vos seins sont plus sensibles et peuvent avoir des veines plus apparentes. Les changements d'humeur sont fréquents en raison des bouleversements hormonaux. C'est le moment de vous reposer dès que possible.,,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a03_examens_médicaux_pendant,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c02_echographie_t1,c15",images/baby_week_07.png,,"
* Le développement du bébé se poursuit cette semaine 7. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,,Le développement du bébé se poursuit cette semaine 7. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 7. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
8,Semaine 8 – ### Un petit embryon complet,,,🫘,1er,"Framboise (1,6 cm)",,,1.6,1.0,"Les principaux organes se forment rapidement (organogenèse). Le cerveau se développe à un rythme incroyable. De minuscules bourgeons apparaissent, qui deviendront les bras et les jambes. L'embryon mesure environ 1,6 cm à la fin de cette période. Il est très vulnérable aux facteurs extérieurs.",,,Les nausées matinales et la fatigue intense sont à leur apogée. Vos seins sont plus sensibles et peuvent avoir des veines plus apparentes. Les changements d'humeur sont fréquents en raison des bouleversements hormonaux. C'est le moment de vous reposer dès que possible.,,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a01_symptômes_de_grossesse,a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c02_echographie_t1,c15",images/baby_week_08.png,,"
* Le développement du bébé se poursuit cette semaine 8. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,,Le développement du bébé se poursuit cette semaine 8. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 8. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
9,Semaine 9 – ### La transition vers le fœtus,,,🍋,1er,"Olive (2,3 cm)",,,2.3,2.0,"L'embryon devient officiellement un fœtus. Tous les organes sont en place, ils n'ont plus qu'à grandir et mûrir. Les doigts et les orteils se séparent. Le fœtus bouge beaucoup, mais ses mouvements sont encore trop légers pour être ressentis. À la fin du premier trimestre, le risque de fausse couche diminue fortement.",,,"La fatigue et les nausées commencent généralement à s'atténuer. Votre utérus a la taille d'un pamplemousse, mais votre ventre n'est pas encore très visible. Vous pourriez ressentir des douleurs ligamentaires (tiraillements dans le bas-ventre) lorsque vous changez de position. Le risque de fausse couche diminue, ce qui est souvent un soulagement émotionnel.",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c03_bilan_sanguin_t1,c15",images/baby_week_09.png,,"
* Le développement du bébé se poursuit cette semaine 9. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,,Le développement du bébé se poursuit cette semaine 9. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 9. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
10,Semaine 10 – ### Les premiers mouvements,,,🍋,1er,"Prune (3,1 cm)",,,3.1,4.0,"L'embryon devient officiellement un fœtus. Tous les organes sont en place, ils n'ont plus qu'à grandir et mûrir. Les doigts et les orteils se séparent. Le fœtus bouge beaucoup, mais ses mouvements sont encore trop légers pour être ressentis. À la fin du premier trimestre, le risque de fausse couche diminue fortement.",,,"La fatigue et les nausées commencent généralement à s'atténuer. Votre utérus a la taille d'un pamplemousse, mais votre ventre n'est pas encore très visible. Vous pourriez ressentir des douleurs ligamentaires (tiraillements dans le bas-ventre) lorsque vous changez de position. Le risque de fausse couche diminue, ce qui est souvent un soulagement émotionnel.",,,"
**Consultez rapidement si :**
*   Vous avez des douleurs intenses et persistantes dans le bas-ventre (crampes sévères).
*   Vous avez de la fièvre (température élevée).
*   Vous ne parvenez plus à vous hydrater à cause des vomissements (ne garde rien).

**Appelez les urgences si :**
*   Vous avez des saignements vaginaux abondants (hémorragie).
*   Vous perdez connaissance (perte de conscience).
",,,"a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c03_bilan_sanguin_t1,c11_bilan_sanguin_t1,c15",images/baby_week_10.png,,"
* Le développement du bébé se poursuit cette semaine 10. Ses organes continuent de maturer.
* Il prend du poids et de la taille de manière constante.
* De nouvelles connexions neuronales se forment dans son cerveau.",,,"
* Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites).",,,Le premier trimestre s'achève ! Le fœtus est maintenant formé et les risques diminuent. Votre énergie devrait bientôt revenir.,,,"v02_alimentation_t1,v13_mouvements_bebe",Le développement du bébé se poursuit cette semaine 10. Ses organes continuent de maturer.,"
* * Le développement du bébé se poursuit cette semaine 10. Ses organes continuent de maturer.
* * Il prend du poids et de la taille de manière constante.
* * De nouvelles connexions neuronales se forment dans son cerveau.","Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac...","
* * Pour les nausées matinales, essayez de manger un petit morceau de pain sec ou une datte avant de vous lever. L'estomac vide aggrave souvent les nausées.
* * Hydratez-vous régulièrement. L'eau de source ou l'eau de fleur d'oranger diluée peuvent aider à passer les nausées.
* * Écoutez votre corps et reposez-vous dès que possible. La fatigue est un signe que votre corps travaille dur.
* * Si vous n'êtes pas immunisée contre la toxoplasmose, lavez très soigneusement les légumes et évitez la viande crue ou mal cuite (y compris les brochettes ou kefta peu cuites)."
