tip_id,week,day,category,tip_short_fr,tip_long_fr,tip_short_ar,tip_long_ar,tip_short_en,tip_long_en,sources
tip_w01_d01,1,1,preparation,C'est le jour J théorique des dernières règles. Notez cette date !,"Pourquoi ? ces étapes t’aident à anticiper et à vivre la grossesse sereinement ✅ Aujourd’hui : note cette info et prépare la prochaine étape 💡 À retenir : chaque grossesse est unique, ajuste avec ton médecin",هذا هو التاريخ النظري لآخر دورة شهرية. سجلي هذا التاريخ!,لماذا؟ هذه الخطوات تساعدك على الاستعداد بهدوء ✅ اليوم: سجّلي هذه المعلومة وجهّزي الخطوة التالية 💡 تذكّري: كل حمل مختلف، وسيتم التعديل مع طبيبك,This is the theoretical date of your last period. Note it down!,Why? these steps help you plan calmly ✅ Today: note this in the app and plan the next step 💡 Remember: every pregnancy is unique—adjust with your clinician,CNGOF
tip_w01_d02,1,2,sante,Prenez de l'acide folique (0.4mg) dès aujourd'hui pour le cerveau de bébé.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",تناولي حمض الفوليك (0.4 ملغ) من اليوم لنمو دماغ طفلك.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Take folic acid (0.4mg) starting today for baby's brain.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",OMS
tip_w01_d03,1,3,sante,Arrêtez le tabac et l'alcool. C'est le début d'une vie saine.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",توقفي عن التدخين والكحول فوراً.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Stop smoking and alcohol immediately.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",HAS
tip_w01_d04,1,4,bien_etre,Votre corps se prépare en silence. Reposez-vous.,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",جسمك يعمل بصمت. ارتاحي.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,Your body is working in silence. Rest.,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w01_d05,1,5,nutrition,Buvez de l'eau. L'hydratation est clé dès le début.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,اشربي الماء. الترطيب أساسي.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Drink water. Hydration is key.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,ACOG
tip_w01_d06,1,6,sante,Évitez l'automédication. Demandez toujours au pharmacien.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",لا للأدوية بدون استشارة! اسألي الصيدلي.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,No self-medication! Ask the pharmacist.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",Vidal
tip_w01_d07,1,7,bien_etre,Visualisez votre projet bébé. L'aventure commence.,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",تخيلي مشروع طفلك بفرح.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,Visualize your baby project with joy.,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w02_d01,2,1,developpement,L'ovulation a lieu. C'est le moment clé de la conception !,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",تحدث الإباضة الآن. هذه هي اللحظة الحاسمة للحمل!,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Ovulation is happening. Key moment for conception!,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w02_d02,2,2,developpement,Les spermatozoïdes peuvent vivre 5 jours. Tout se joue maintenant.,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",الحيوانات المنوية تعيش حتى 5 أيام. كل شيء يلعب الآن.,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Sperm can live up to 5 days. It's all playing out now.,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w02_d03,2,3,nutrition,Mangez équilibré : légumes verts et fruits.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,كلي الخضروات الخضراء والفواكه.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Eat green vegetables and fruits.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,Nutrition
