red_flag_id,label_fr,label_ar,label_en,keywords_fr,severity,standard_message_fr,standard_message_ar,standard_message_en,linked_articles_ids,sources,triage_questions_fr,triage_questions_ar,triage_questions_en,next_steps_fr,next_steps_ar,next_steps_en,description_fr,action_fr
hémorragie,sang rouge vif,plus que des règles,emergency,"hémorragie,saignement,sang,perte de sang,je saigne,saigner,perte de liquide",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une perte de sang rouge vif, surtout si elle est abondante, peut indiquer un décollement placentaire, un placenta prævia ou une menace de fausse couche/accouchement prématuré.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
crampes sévères,douleur unilatérale,douleur qui ne passe pas,urgent_consult,"crampes sévères,douleur ventre,mal au ventre,contractions douloureuses,douleur intense,mal bas du ventre",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Des douleurs abdominales intenses et persistantes peuvent être le signe d'un travail prématuré, d'une infection urinaire sévère ou d'une complication utérine.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
ne sens plus le bébé,mouvements faibles,urgent_consult,Une diminution des mouvements fœtaux peut être un signe de souffrance fœtale. Consultez immédiatement un médecin ou une maternité pour un contrôle. Ne tentez pas de stimuler le bébé vous-même.,"ne sens plus le bébé,bébé bouge pas,mouvements bébé,moins de mouvements,bébé dort,activité fœtale",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Une diminution ou un arrêt des mouvements fœtaux après 24 semaines peut indiquer une souffrance fœtale et nécessite une vérification immédiate.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
céphalée,douleur en barre,urgent_consult,"Ces signes, surtout s'ils sont accompagnés de troubles de la vision ou de douleurs à l'estomac, peuvent être un signe de pré-éclampsie. Consultez un médecin ou rendez-vous aux urgences sans attendre.","céphalée,mal de tête,migraine,tête qui fait mal,douleur tête",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, CDC",,a03_examens_médicaux_pendant,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Un mal de tête violent et persistant, surtout s'il est accompagné de troubles visuels, peut être un signe de pré-éclampsie.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
éclairs lumineux,taches devant les yeux,urgent_consult,Ces signes peuvent être liés à une hypertension artérielle ou à une pré-éclampsie. Consultez immédiatement un médecin ou une maternité.,"éclairs lumineux,trouble vision,yeux,voir des étoiles,vision floue,mouches volantes",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Ces troubles visuels sont un signe neurologique qui, combiné à d'autres symptômes, peut indiquer une hypertension ou une pré-éclampsie.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
température élevée,infection,urgent_consult,Une fièvre inexpliquée peut indiquer une infection grave. Consultez un médecin sans attendre pour un diagnostic et un traitement approprié.,"température élevée,fièvre,chaud,38.5,39,infection,grippe",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une fièvre supérieure à 38.5°C peut indiquer une infection (urinaire, grippe, etc.) qui peut être dangereuse pour la grossesse si elle n'est pas traitée rapidement.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
ne garde rien,déshydratation,urgent_consult,Des vomissements si sévères que vous ne parvenez pas à vous hydrater nécessitent une prise en charge médicale pour éviter la déshydratation et la malnutrition.,"ne garde rien,vomissements,je vomis,nausées,hyperémèse,je n'arrive pas à manger",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Des vomissements incoercibles (hyperémèse gravidique) peuvent entraîner une déshydratation et des carences nutritionnelles sévères.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
gonflement visage,œdème,urgent_consult,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie. Consultez un médecin rapidement.","gonflement visage,œdème,gonflé,mains gonflées,pieds gonflés,gonflement soudain",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
liquide chaud,écoulement vaginal,urgent_consult,"Une perte de liquide (clair, jaune ou verdâtre) peut indiquer une rupture prématurée des membranes. Consultez immédiatement une maternité.","liquide chaud,perte des eaux,poche des eaux,liquide amniotique,ça coule",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une perte de liquide clair et chaud, même en petite quantité, peut indiquer une rupture de la poche des eaux.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
cystite,infection urinaire,urgent_consult,"Ces signes peuvent indiquer une infection urinaire qui, si elle n'est pas traitée, peut entraîner une infection rénale ou un accouchement prématuré. Consultez un médecin.","cystite,brûlure urinaire,mal à la vessie,infection urinaire,je fais pipi souvent",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ce signe d'alerte (cystite) peut indiquer une complication qui nécessite une évaluation médicale rapide.,Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.
