article_id,slug,title_fr,title_ar,title_en,category,summary_fr,summary_ar,summary_en,content_markdown_fr,content_markdown_ar,content_markdown_en,tags,author,sources,image_url,risk_level,week_links,related_articles_ids,related_supplements_ids,note_localisation
a01_symptômes_de_grossesse,symptômes_de_grossesse,Les symptômes de grossesse,,,symptomes,"# Les symptômes de grossesse : comment les reconnaître  La grossesse est une période de grands changements pour le corps d'une femme. Reconnaître les premiers signes de grossesse peut parfois s'avérer difficile, car certains symptômes ressemblent à ceux du syndrome prémenstruel.",,,"## Contenu de l'article : 01 Symptomes Grossesse

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

01 Symptomes Grossesse est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 01 Symptomes Grossesse et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,"4,5,6,7,8,9,10,11,12",,"s01_acide_folique,s02_fer,s07_magnesium,s12_probiotiques",
a02_alimentation_pendant_la,alimentation_pendant_la,Alimentation pendant la grossesse,,,nutrition,"# L'alimentation pendant la grossesse : ce qu'il faut manger et éviter  L'alimentation joue un rôle crucial pendant la grossesse, tant pour la santé de la future maman que pour le développement optimal du bébé. Une alimentation équilibrée et adaptée permet de répondre aux besoins nutritionnels accru...",,,"## Contenu de l'article : 02 Alimentation Grossesse

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

02 Alimentation Grossesse est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 02 Alimentation Grossesse et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,1-40,,"s01_acide_folique,s02_fer,s03_vitamine_d,s04_iode,s05_dha_omega3,s06_calcium,s07_magnesium,s08_vitamine_b12,s09_zinc,s10_vitamine_c,s11_vitamine_a,s12_probiotiques,s13_choline,s14_vitamine_k,s15_selenium",
a03_examens_médicaux_pendant,examens_médicaux_pendant,Examens médicaux pendant la grossesse,,,examens,# Les examens médicaux essentiels durant la grossesse  Le suivi médical pendant la grossesse est fondamental pour assurer votre santé et celle de votre bébé. Une série d'examens médicaux est prévue tout au long de ces neuf mois pour surveiller le bon déroulement de la grossesse et détecter d'éventue...,,,"## Contenu de l'article : 03 Examens Medicaux

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

03 Examens Medicaux est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 03 Examens Medicaux et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,"6,12,22,32",,"s01_acide_folique,s02_fer,s03_vitamine_d,s04_iode",
a04_nausées_matinales,nausées_matinales,Nausées matinales,,,symptomes,"# Gérer les nausées matinales : conseils et remèdes  Les nausées matinales sont l'un des symptômes les plus courants de la grossesse, touchant environ 70 à 80% des femmes enceintes. Malgré leur nom, ces nausées peuvent survenir à n'importe quel moment de la journée et leur intensité varie considérab...",,,"## Contenu de l'article : 04 Nausees Matinales

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

04 Nausees Matinales est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 04 Nausees Matinales et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,"5,6,7,8,9,10,11,12,13,14,15,16",,"s07_magnesium,s12_probiotiques",
a05_exercice_physique_pendant,exercice_physique_pendant,Exercice physique pendant la grossesse,,,sport,"# L'exercice physique pendant la grossesse : bienfaits et précautions  L'exercice physique pendant la grossesse est non seulement possible, mais également recommandé pour la plupart des femmes enceintes. Une activité physique adaptée présente de nombreux bienfaits tant pour la future maman que pour ...",,,"## Contenu de l'article : 05 Exercice Physique

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

05 Exercice Physique est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 05 Exercice Physique et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,1-40,,s07_magnesium,
a06_sommeil_pendant_la,sommeil_pendant_la,Sommeil pendant la grossesse,,,sommeil,"# Le sommeil pendant la grossesse : positions et conseils  Le sommeil est essentiel pour la santé physique et mentale, et cela devient encore plus important pendant la grossesse. Pourtant, c'est souvent à ce moment que de nombreuses femmes rencontrent des difficultés pour bien dormir.",,,"## Contenu de l'article : 06 Sommeil Grossesse

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

06 Sommeil Grossesse est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 06 Sommeil Grossesse et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a07_changements_émotionnels_pendant,changements_émotionnels_pendant,Changements émotionnels pendant la grossesse,,,emotions,"# Les changements émotionnels durant la grossesse  La grossesse est une période de transformation profonde, non seulement sur le plan physique, mais également sur le plan émotionnel. Les fluctuations hormonales intenses, les changements corporels, la préparation à la parentalité et les ajustements d...",,,"## Contenu de l'article : 07 Changements Emotionnels

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

07 Changements Emotionnels est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 07 Changements Emotionnels et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a08_liste_dachats_pour,liste_dachats_pour,Liste d'achats pour bébé,,,autres,"# Préparer l'arrivée de bébé : liste d'achats essentiels  L'arrivée d'un bébé est un événement merveilleux qui nécessite une préparation minutieuse. Entre l'excitation et l'appréhension, il peut être difficile de savoir exactement ce dont vous aurez besoin pour accueillir votre nouveau-né.",,,"## Contenu de l'article : 08 Liste Achats Bebe

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

08 Liste Achats Bebe est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 08 Liste Achats Bebe et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a09_préparation_à_laccouchement,préparation_à_laccouchement,Préparation à l'accouchement,,,accouchement,"# L'accouchement : se préparer physiquement et mentalement  L'accouchement est l'aboutissement de neuf mois de grossesse, un moment à la fois attendu et parfois redouté. Se préparer à cet événement majeur, tant sur le plan physique que mental, peut contribuer à vivre cette expérience de façon plus s...",,,"## Contenu de l'article : 09 Preparation Accouchement

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

09 Preparation Accouchement est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 09 Preparation Accouchement et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a10_différentes_méthodes_daccouchement,différentes_méthodes_daccouchement,Différentes méthodes d'accouchement,,,accouchement,"# Les différentes méthodes d'accouchement  L'accouchement est une expérience unique qui peut se dérouler de différentes manières. Bien que l'accouchement par voie basse soit le plus courant, il existe plusieurs méthodes et approches qui peuvent varier selon les préférences personnelles, les circonst...",,,"## Contenu de l'article : 10 Methodes Accouchement

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

10 Methodes Accouchement est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 10 Methodes Accouchement et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a11_péridurale,péridurale,La péridurale,,,accouchement,"# La péridurale : avantages et inconvénients  La péridurale est l'une des méthodes d'analgésie les plus utilisées pendant l'accouchement dans les pays développés. En France, environ 80% des femmes y ont recours lors de leur accouchement.",,,"## Contenu de l'article : 11 Peridurale

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

11 Peridurale est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 11 Peridurale et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,,,,
a12_signes_du_travail,signes_du_travail,Signes du travail,,,accouchement,# Les signes du travail : quand partir à la maternité  L'approche de l'accouchement est souvent une période d'excitation mais aussi d'anxiété pour les futures mamans. Une question revient fréquemment : comment reconnaître les véritables signes du travail et à quel moment faut-il se rendre à la mater...,,,"## Contenu de l'article : 12 Signes Travail

[NOTE : Le contenu réel de cet article doit être intégré ici. Pour la V0, ce texte sert de placeholder.]

12 Signes Travail est un sujet essentiel pendant la grossesse. Cet article fournit des informations détaillées sur 12 Signes Travail et son impact sur la mère et le bébé. Veuillez remplacer ce texte par le contenu complet et sourcé.",,,,,,,normal,"36,37,38,39,40",,,
