label_fr,topic,trimestre,linked_article_ids,linked_red_flag_ids,suggestion_id,label_ar,label_en
J'ai des nausées matinales,symptomes,1,a04_nausées_matinales,ne garde rien,cs001,,
Je me sens très fatiguée,symptomes,1,a06_sommeil_pendant_la,,cs002,,
J'ai des envies fréquentes d'uriner,symptomes,1,a01_symptômes_de_grossesse,cystite,cs003,,
J'ai des saignements légers,symptomes,1,a01_symptômes_de_grossesse,hémorragie,cs004,,
J'ai des brûlures d'estomac,symptomes,1,a01_symptômes_de_grossesse,,cs005,,
J'ai mal aux seins,symptomes,1,a01_symptômes_de_grossesse,,cs006,,
J'ai des douleurs ligamentaires,symptomes,1,a01_symptômes_de_grossesse,,cs007,,
J'ai des vertiges,symptomes,1,a01_symptômes_de_grossesse,,cs008,,
J'ai de l'acné de grossesse,symptomes,1,a01_symptômes_de_grossesse,,cs009,,
J'ai des crampes dans les jambes,symptomes,1,a01_symptômes_de_grossesse,,cs010,,
Quels aliments éviter au premier trimestre ?,nutrition,1,a02_alimentation_pendant_la,,cs011,,
Dois-je prendre de l'acide folique ?,nutrition,1,a02_alimentation_pendant_la,,cs012,,
Puis-je boire du café ?,nutrition,1,a02_alimentation_pendant_la,,cs013,,
Comment éviter la listériose ?,nutrition,1,a02_alimentation_pendant_la,,cs014,,
Je ne suis pas immunisée contre la toxoplasmose,nutrition,1,a02_alimentation_pendant_la,,cs015,,
J'ai des envies de sucre,nutrition,1,a02_alimentation_pendant_la,,cs016,,
Quels suppléments sont essentiels ?,nutrition,1,a02_alimentation_pendant_la,,cs017,,
Puis-je jeûner pendant le Ramadan ?,nutrition,1,a02_alimentation_pendant_la,,cs018,,
Quand faire la première échographie ?,examens,1,a03_examens_médicaux_pendant,,cs019,,
Qu'est-ce que le dépistage de la trisomie 21 ?,examens,1,a03_examens_médicaux_pendant,,cs020,,
J'ai mon premier rendez-vous prénatal,examens,1,a03_examens_médicaux_pendant,,cs021,,
Quel est le rôle de la sage-femme ?,examens,1,a03_examens_médicaux_pendant,,cs022,,
Quels sont les examens obligatoires ?,examens,1,a03_examens_médicaux_pendant,,cs023,,
Quels sont mes droits et aides ?,administratif,1,a17_droits_et_aides,,cs024,,
Puis-je continuer à faire du sport ?,sport,1,a05_exercice_physique_pendant,,cs025,,
Grossesse et relations sexuelles,sexualite,1,a18_grossesse_et_sexualité,,cs026,,
Comment gérer mon stress ?,emotions,1,a07_changements_émotionnels_pendant,,cs027,,
Je suis enceinte de jumeaux,multiples,1,a19_grossesses_multiples,,cs028,,
Puis-je voyager en voiture ?,voyage,1,a16_grossesse_et_travail,,cs029,,
J'ai des changements d'humeur,emotions,1,a07_changements_émotionnels_pendant,,cs030,,
Comment annoncer ma grossesse ?,emotions,1,a07_changements_émotionnels_pendant,,cs031,,
Mon travail est-il dangereux pour le bébé ?,administratif,1,a16_grossesse_et_travail,,cs032,,
Comment gérer la fatigue extrême ?,sommeil,1,a06_sommeil_pendant_la,,cs033,,
J'ai peur de la fausse couche,emotions,1,a07_changements_émotionnels_pendant,,cs034,,
Puis-je prendre des médicaments ?,symptomes,1,a01_symptômes_de_grossesse,,cs035,,
"Je sens mon bébé bouger, est-ce normal ?",mouvements_bebe,2,a20_mouvements_du_bébé,,cs036,,
J'ai mal au dos,symptomes,2,a01_symptômes_de_grossesse,,cs037,,
J'ai des contractions de Braxton Hicks,symptomes,2,a01_symptômes_de_grossesse,,cs038,,
J'ai des problèmes de sommeil,sommeil,2,a06_sommeil_pendant_la,,cs039,,
J'ai des varices,symptomes,2,a01_symptômes_de_grossesse,,cs040,,
Comment prévenir les vergetures ?,symptomes,2,a01_symptômes_de_grossesse,,cs041,,
J'ai des problèmes de gencives,symptomes,2,a01_symptômes_de_grossesse,,cs042,,
J'ai le nez bouché,symptomes,2,a01_symptômes_de_grossesse,,cs043,,
J'ai des fuites urinaires,symptomes,2,a01_symptômes_de_grossesse,,cs044,,
J'ai des hémorroïdes,symptomes,2,a01_symptômes_de_grossesse,,cs045,,
Dois-je prendre du fer ?,nutrition,2,a02_alimentation_pendant_la,,cs046,,
Qu'est-ce que le diabète gestationnel ?,examens,2,a03_examens_médicaux_pendant,,cs047,,
J'ai des envies de sucre,nutrition,2,a02_alimentation_pendant_la,,cs048,,
J'ai faim tout le temps,nutrition,2,a02_alimentation_pendant_la,,cs049,,
Comment gérer ma prise de poids ?,nutrition,2,a02_alimentation_pendant_la,,cs050,,
Quand faire l'échographie du 2ème trimestre ?,examens,2,a03_examens_médicaux_pendant,,cs051,,
Qu'est-ce que le test de glucose (HGPO) ?,examens,2,a03_examens_médicaux_pendant,,cs052,,
J'ai un bilan sanguin au 5ème mois,examens,2,a03_examens_médicaux_pendant,,cs053,,
Qu'est-ce que la pré-éclampsie ?,examens,2,a03_examens_médicaux_pendant,céphalée,cs054,,
Dois-je me faire vacciner contre la grippe ?,examens,2,a03_examens_médicaux_pendant,,cs055,,
Puis-je voyager en avion ?,voyage,2,a16_grossesse_et_travail,,cs056,,
Quand commencer les achats pour bébé ?,achats,2,a08_liste_dachats_pour,,cs057,,
Comment choisir le prénom ?,emotions,2,a07_changements_émotionnels_pendant,,cs058,,
Comment gérer les maux de dos ?,sport,2,a05_exercice_physique_pendant,,cs059,,
Comment parler au bébé in utero ?,emotions,2,a07_changements_émotionnels_pendant,,cs060,,
J'ai des problèmes de concentration,emotions,2,a07_changements_émotionnels_pendant,,cs061,,
Comment préparer mon congé maternité ?,administratif,2,a17_droits_et_aides,,cs062,,
J'ai peur de l'accouchement,emotions,2,a07_changements_émotionnels_pendant,,cs063,,
Puis-je faire de la natation ?,sport,2,a05_exercice_physique_pendant,,cs064,,
Mon ventre est-il assez gros ?,symptomes,2,a01_symptômes_de_grossesse,,cs065,,
Comment choisir la maternité ?,preparation,2,a09_préparation_à_laccouchement,,cs066,,
J'ai des démangeaisons,symptomes,2,a01_symptômes_de_grossesse,,cs067,,
J'ai des pertes vaginales,symptomes,2,a01_symptômes_de_grossesse,,cs068,,
Comment faire un projet de naissance ?,preparation,2,a09_préparation_à_laccouchement,,cs069,,
Puis-je me faire masser ?,sport,2,a05_exercice_physique_pendant,,cs070,,
Je ne sens plus mon bébé bouger,mouvements_bebe,3,a20_mouvements_du_bébé,ne sens plus le bébé,cs071,,
J'ai des douleurs intenses au ventre,symptomes,3,a12_signes_du_travail,crampes sévères,cs072,,
J'ai perdu les eaux,accouchement,3,a12_signes_du_travail,liquide chaud,cs073,,
J'ai des maux de tête violents,symptomes,3,a01_symptômes_de_grossesse,céphalée,cs074,,
J'ai de la fièvre,symptomes,3,a01_symptômes_de_grossesse,température élevée,cs075,,
J'ai des difficultés à respirer,symptomes,3,a01_symptômes_de_grossesse,essoufflement,cs076,,
J'ai des douleurs au foie,symptomes,3,a01_symptômes_de_grossesse,douleur foie,cs077,,
J'ai des contractions régulières,accouchement,3,a12_signes_du_travail,,cs078,,
J'ai perdu le bouchon muqueux,accouchement,3,a12_signes_du_travail,,cs079,,
Mon bébé est en siège,accouchement,3,a10_différentes_méthodes_daccouchement,,cs080,,
Comment se préparer à l'accouchement ?,preparation,3,a09_préparation_à_laccouchement,,cs081,,
Quels sont les signes du travail ?,accouchement,3,a12_signes_du_travail,,cs082,,
Comment faire ma valise de maternité ?,preparation,3,a08_liste_dachats_pour,,cs083,,
Quel est le rôle du partenaire pendant l'accouchement ?,preparation,3,a09_préparation_à_laccouchement,,cs084,,
Puis-je avoir une péridurale ?,accouchement,3,a11_péridurale,,cs085,,
Quelles sont les méthodes d'accouchement ?,accouchement,3,a10_différentes_méthodes_daccouchement,,cs086,,
Comment gérer la douleur sans péridurale ?,accouchement,3,a09_préparation_à_laccouchement,,cs087,,
Qu'est-ce que l'épisiotomie ?,accouchement,3,a09_préparation_à_laccouchement,,cs088,,
Comment se passe une césarienne ?,accouchement,3,a10_différentes_méthodes_daccouchement,,cs089,,
Comment choisir le pédiatre ?,achats,3,a08_liste_dachats_pour,,cs090,,
Comment se passe le post-partum ?,post-partum,3,a14_post-partum,,cs091,,
J'ai des pensées négatives après l'accouchement,post-partum,3,a15_dépression_post-partum,pensées suicidaires,cs092,,
Je veux allaiter,post-partum,3,a13_allaitement,,cs093,,
Comment gérer le baby blues ?,post-partum,3,a15_dépression_post-partum,,cs094,,
J'ai des saignements après l'accouchement,post-partum,3,a14_post-partum,hémorragie,cs095,,
Comment prendre soin de mon périnée ?,post-partum,3,a14_post-partum,,cs096,,
Quand reprendre les relations sexuelles ?,post-partum,3,a18_grossesse_et_sexualité,,cs097,,
Comment gérer la fatigue avec un nouveau-né ?,post-partum,3,a14_post-partum,,cs098,,
J'ai des difficultés à allaiter,post-partum,3,a13_allaitement,,cs099,,
Quels sont les signes de la dépression post-partum ?,post-partum,3,a15_dépression_post-partum,,cs100,,
