red_flag_id,label_fr,label_ar,label_en,keywords_fr,severity,standard_message_fr,standard_message_ar,standard_message_en,linked_articles_ids,sources,triage_questions_fr,triage_questions_ar,triage_questions_en,next_steps_fr,next_steps_ar,next_steps_en
hémorragie,sang rouge vif,plus que des règles,emergency,"Ces signes peuvent indiquer une complication grave (placenta prævia, décollement placentaire, fausse couche tardive). Consultez immédiatement un médecin, une maternité ou les services d’urgence. Ne vous déplacez pas seule.",,"Une perte de sang rouge vif, surtout si elle est abondante ou accompagnée de douleurs, est une urgence. Cela peut indiquer un décollement placentaire ou une fausse couche tardive. **Ne vous déplacez pas seule et ne conduisez pas.**",a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
crampes sévères,douleur unilatérale,douleur qui ne passe pas,urgent_consult,"Ces signes peuvent indiquer une complication (grossesse extra-utérine, décollement placentaire, appendicite). Consultez un médecin ou rendez-vous aux urgences sans attendre.",,"Des douleurs abdominales très intenses, qui ne passent pas au repos et qui sont localisées d'un seul côté, peuvent être le signe d'une grossesse extra-utérine (début de grossesse) ou d'un décollement placentaire (fin de grossesse). **Consultez immédiatement.**",a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
ne sens plus le bébé,mouvements faibles,urgent_consult,Une diminution des mouvements fœtaux peut être un signe de souffrance fœtale. Consultez immédiatement un médecin ou une maternité pour un contrôle. Ne tentez pas de stimuler le bébé vous-même.,,,Une diminution ou un arrêt des mouvements fœtaux après 24 semaines est un signe de souffrance fœtale. **Ne tentez pas de stimuler le bébé vous-même.** Vous devez être examinée immédiatement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
céphalée,douleur en barre,urgent_consult,"Ces signes, surtout s'ils sont accompagnés de troubles de la vision ou de douleurs à l'estomac, peuvent être un signe de pré-éclampsie. Consultez un médecin ou rendez-vous aux urgences sans attendre.",,,Ce signe d'alerte (céphalée) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"ACOG 2023, CDC",,a03_examens_médicaux_pendant,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
éclairs lumineux,taches devant les yeux,urgent_consult,Ces signes peuvent être liés à une hypertension artérielle ou à une pré-éclampsie. Consultez immédiatement un médecin ou une maternité.,,,Ce signe d'alerte (éclairs lumineux) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
température élevée,infection,urgent_consult,Une fièvre inexpliquée peut indiquer une infection grave. Consultez un médecin sans attendre pour un diagnostic et un traitement approprié.,,,Ce signe d'alerte (température élevée) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
ne garde rien,déshydratation,urgent_consult,Des vomissements si sévères que vous ne parvenez pas à vous hydrater nécessitent une prise en charge médicale pour éviter la déshydratation et la malnutrition.,,,Ce signe d'alerte (ne garde rien) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
gonflement visage,œdème,urgent_consult,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie. Consultez un médecin rapidement.",,,Ce signe d'alerte (gonflement visage) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
liquide chaud,écoulement vaginal,urgent_consult,"Une perte de liquide (clair, jaune ou verdâtre) peut indiquer une rupture prématurée des membranes. Consultez immédiatement une maternité.",,,Ce signe d'alerte (liquide chaud) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"ACOG 2023, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
cystite,infection urinaire,urgent_consult,"Ces signes peuvent indiquer une infection urinaire qui, si elle n'est pas traitée, peut entraîner une infection rénale ou un accouchement prématuré. Consultez un médecin.",,,Ce signe d'alerte (cystite) nécessite une attention médicale immédiate. Il peut être lié à une complication grave. **Suivez les instructions de triage et ne tardez pas à consulter.**,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
