week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url
1,Semaine 1 – ### La conception,,,🌱,1er,Microscopique,,,0.1,0.1,"La fécondation vient tout juste de se produire. L'ovule fécondé, appelé zygote, commence immédiatement à se diviser et à se déplacer vers l'utérus pour s'implanter. À ce stade, vous n'êtes pas encore techniquement enceinte, car l'implantation n'a pas eu lieu.",,,"Pendant cette première semaine, qui correspond à vos dernières règles, votre corps se prépare à une éventuelle grossesse. Vous ne ressentez aucun symptôme de grossesse pour le moment.",,,Aucun symptôme d'alerte spécifique à cette semaine. Suivez votre cycle menstruel.,,,"a02_alimentation_pendant_la,a18_grossesse_et_sexualité",s01_acide_folique,c25,week_01.png,
2,Semaine 2 – ### L'ovulation,,,🌱,1er,Microscopique,,,0.1,0.1,"L'ovulation se produit et un ovule est libéré. Si la fécondation a lieu, l'ovule fécondé continue son voyage vers l'utérus. Vous n'êtes pas encore enceinte, mais votre corps se prépare à cette possibilité.",,,"C'est la semaine de l'ovulation. Vous pourriez remarquer une légère augmentation de votre libido ou une glaire cervicale plus abondante et transparente, semblable à du blanc d'œuf.",,,Aucun symptôme d'alerte spécifique. Certaines femmes ressentent une légère douleur d'un côté de l'abdomen au moment de l'ovulation (mittelschmerz).,,,"a02_alimentation_pendant_la,a18_grossesse_et_sexualité",s01_acide_folique,c25,week_02.png,
3,Semaine 3 – ### L'implantation,,,🌱,1er,Microscopique,,,0.1,0.1,"L'embryon s'implante dans la paroi utérine. C'est à ce moment que vous êtes officiellement enceinte, bien que vous ne le sachiez probablement pas encore. Les premières cellules commencent à se différencier pour former les différents tissus du corps.",,,"L'œuf fécondé voyage vers l'utérus pour s'implanter. Vous ne ressentez probablement encore rien, mais de grands changements se préparent. Certaines femmes peuvent observer un léger saignement d'implantation.",,,"Un léger spotting (quelques gouttes de sang rose ou marron) peut être un saignement d'implantation. S'il est abondant, consultez un médecin.",,,"a01_symptômes_de_grossesse,a02_alimentation_pendant_la",s01_acide_folique,c25,week_03.png,
4,Semaine 4 – ### Le test positif,,,🌱,1er,Graine de pavot (1 mm),,,1.0,0.1,"Votre test de grossesse peut désormais être positif. L'embryon forme un disque à deux couches et le sac amniotique commence à se développer. Le tube neural, qui deviendra le cerveau et la moelle épinière, commence à se former.",,,"C'est la semaine où vos règles sont attendues. Un retard est le premier signe de grossesse. Vous pourriez commencer à ressentir une sensibilité des seins, une légère fatigue ou des nausées matinales.",,,"Si vous avez un test de grossesse positif et des douleurs abdominales sévères d'un seul côté, consultez rapidement pour écarter une grossesse extra-utérine.",,,"a01_symptômes_de_grossesse,a04_nausées_matinales",s01_acide_folique,"c01,c25",week_04.png,
5,Semaine 5 – ### Le cœur qui bat,,,🫘,1er,Graine de sésame (2 mm),,,2.0,0.1,"Le cœur de l'embryon commence à battre ! Il est encore trop tôt pour l'entendre, mais il pourrait être visible lors d'une échographie transvaginale. Les bourgeons qui formeront les bras et les jambes commencent à apparaître.",,,"Les symptômes de grossesse s'intensifient : fatigue, nausées, envies fréquentes d'uriner, seins tendus et douloureux. Les hormones de grossesse (hCG) sont en pleine augmentation.",,,Des vomissements importants qui vous empêchent de vous hydrater nécessitent un avis médical. Des saignements ou des crampes fortes doivent également vous amener à consulter.,,,"a01_symptômes_de_grossesse,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c01,c15",week_05.png,
6,Semaine 6 – ### Les premiers organes,,,🫘,1er,Lentille (4 mm),,,4.0,1.0,"Les organes vitaux comme le foie et les reins commencent à se former. Le tube neural se ferme. Les bourgeons des bras et des jambes s'allongent et les mains et les pieds commencent à se former. Le visage commence à prendre forme avec l'apparition des yeux, du nez et de la bouche.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a01_symptômes_de_grossesse,a03_examens_médicaux_pendant,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c01,c02,c15",week_06.png,
7,Semaine 7 – ### Le développement cérébral,,,🫘,1er,Myrtille (8 mm),,,8.0,1.0,"Le cerveau se développe rapidement. Les hémisphères cérébraux commencent à se former. Les bras et les jambes continuent de s'allonger, et les doigts et les orteils commencent à apparaître. Le cordon ombilical est maintenant clairement visible.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a01_symptômes_de_grossesse,a03_examens_médicaux_pendant,a04_nausées_matinales,a07_changements_émotionnels_pendant","s01_acide_folique,s03_vitamine_d","c02,c15",week_07.png,
8,Semaine 8 – ### Un petit embryon complet,,,🫘,1er,"Framboise (1,6 cm)",,,1.6,1.0,Tous les organes essentiels sont formés. L'embryon a maintenant une apparence plus humaine. Les caractéristiques faciales continuent de se développer. Les membres s'allongent et les articulations commencent à se former. Le cœur bat maintenant à environ 150 battements par minute.,,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a01_symptômes_de_grossesse,a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c02,c15",week_08.png,
9,Semaine 9 – ### La transition vers le fœtus,,,🍋,1er,"Olive (2,3 cm)",,,2.3,2.0,"L'embryon est maintenant appelé fœtus. Les organes génitaux commencent à se développer, mais il est encore trop tôt pour déterminer le sexe à l'échographie. Les doigts et les orteils sont bien formés. Le fœtus peut faire de petits mouvements, mais vous ne les sentez pas encore.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c03,c15",week_09.png,
10,Semaine 10 – ### Les premiers mouvements,,,🍋,1er,"Prune (3,1 cm)",,,3.1,4.0,"Le fœtus commence à bouger activement, bien que vous ne puissiez pas encore le sentir. Les paupières sont formées et recouvrent partiellement les yeux. Les dents commencent à se former sous les gencives. Le foie commence à produire des globules rouges.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a04_nausées_matinales,a07_changements_émotionnels_pendant,a18_grossesse_et_sexualité","s01_acide_folique,s03_vitamine_d","c03,c11,c15",week_10.png,
