article_id,slug,title_fr,title_ar,title_en,category,summary_fr,summary_ar,summary_en,content_source_path,language,risk_level,week_links,related_articles_ids,related_supplements_ids,note_localisation
a01_symptômes_de_grossesse,symptômes_de_grossesse,Les symptômes de grossesse,,,symptomes,"# Les symptômes de grossesse : comment les reconnaître  La grossesse est une période de grands changements pour le corps d'une femme. Reconnaître les premiers signes de grossesse peut parfois s'avérer difficile, car certains symptômes ressemblent à ceux du syndrome prémenstruel.",,,01_symptomes_grossesse.md,fr,normal,,,,
a02_alimentation_pendant_la,alimentation_pendant_la,Alimentation pendant la grossesse,,,nutrition,"# L'alimentation pendant la grossesse : ce qu'il faut manger et éviter  L'alimentation joue un rôle crucial pendant la grossesse, tant pour la santé de la future maman que pour le développement optimal du bébé. Une alimentation équilibrée et adaptée permet de répondre aux besoins nutritionnels accru...",,,02_alimentation_grossesse.md,fr,normal,,,,
a03_examens_médicaux_pendant,examens_médicaux_pendant,Examens médicaux pendant la grossesse,,,examens,# Les examens médicaux essentiels durant la grossesse  Le suivi médical pendant la grossesse est fondamental pour assurer votre santé et celle de votre bébé. Une série d'examens médicaux est prévue tout au long de ces neuf mois pour surveiller le bon déroulement de la grossesse et détecter d'éventue...,,,03_examens_medicaux.md,fr,normal,,,,
a04_nausées_matinales,nausées_matinales,Nausées matinales,,,symptomes,"# Gérer les nausées matinales : conseils et remèdes  Les nausées matinales sont l'un des symptômes les plus courants de la grossesse, touchant environ 70 à 80% des femmes enceintes. Malgré leur nom, ces nausées peuvent survenir à n'importe quel moment de la journée et leur intensité varie considérab...",,,04_nausees_matinales.md,fr,normal,,,,
a05_exercice_physique_pendant,exercice_physique_pendant,Exercice physique pendant la grossesse,,,sport,"# L'exercice physique pendant la grossesse : bienfaits et précautions  L'exercice physique pendant la grossesse est non seulement possible, mais également recommandé pour la plupart des femmes enceintes. Une activité physique adaptée présente de nombreux bienfaits tant pour la future maman que pour ...",,,05_exercice_physique.md,fr,normal,,,,
a06_sommeil_pendant_la,sommeil_pendant_la,Sommeil pendant la grossesse,,,sommeil,"# Le sommeil pendant la grossesse : positions et conseils  Le sommeil est essentiel pour la santé physique et mentale, et cela devient encore plus important pendant la grossesse. Pourtant, c'est souvent à ce moment que de nombreuses femmes rencontrent des difficultés pour bien dormir.",,,06_sommeil_grossesse.md,fr,normal,,,,
a07_changements_émotionnels_pendant,changements_émotionnels_pendant,Changements émotionnels pendant la grossesse,,,emotions,"# Les changements émotionnels durant la grossesse  La grossesse est une période de transformation profonde, non seulement sur le plan physique, mais également sur le plan émotionnel. Les fluctuations hormonales intenses, les changements corporels, la préparation à la parentalité et les ajustements d...",,,07_changements_emotionnels.md,fr,normal,,,,
a08_liste_dachats_pour,liste_dachats_pour,Liste d'achats pour bébé,,,autres,"# Préparer l'arrivée de bébé : liste d'achats essentiels  L'arrivée d'un bébé est un événement merveilleux qui nécessite une préparation minutieuse. Entre l'excitation et l'appréhension, il peut être difficile de savoir exactement ce dont vous aurez besoin pour accueillir votre nouveau-né.",,,08_liste_achats_bebe.md,fr,normal,,,,
a09_préparation_à_laccouchement,préparation_à_laccouchement,Préparation à l'accouchement,,,accouchement,"# L'accouchement : se préparer physiquement et mentalement  L'accouchement est l'aboutissement de neuf mois de grossesse, un moment à la fois attendu et parfois redouté. Se préparer à cet événement majeur, tant sur le plan physique que mental, peut contribuer à vivre cette expérience de façon plus s...",,,09_preparation_accouchement.md,fr,normal,,,,
a10_différentes_méthodes_daccouchement,différentes_méthodes_daccouchement,Différentes méthodes d'accouchement,,,accouchement,"# Les différentes méthodes d'accouchement  L'accouchement est une expérience unique qui peut se dérouler de différentes manières. Bien que l'accouchement par voie basse soit le plus courant, il existe plusieurs méthodes et approches qui peuvent varier selon les préférences personnelles, les circonst...",,,10_methodes_accouchement.md,fr,normal,,,,
a11_péridurale,péridurale,La péridurale,,,accouchement,"# La péridurale : avantages et inconvénients  La péridurale est l'une des méthodes d'analgésie les plus utilisées pendant l'accouchement dans les pays développés. En France, environ 80% des femmes y ont recours lors de leur accouchement.",,,11_peridurale.md,fr,normal,,,,
a12_signes_du_travail,signes_du_travail,Signes du travail,,,accouchement,# Les signes du travail : quand partir à la maternité  L'approche de l'accouchement est souvent une période d'excitation mais aussi d'anxiété pour les futures mamans. Une question revient fréquemment : comment reconnaître les véritables signes du travail et à quel moment faut-il se rendre à la mater...,,,12_signes_travail.md,fr,normal,,,,
a13_allaitement,allaitement,Allaitement,,,allaitement,"# L'allaitement : conseils pour bien démarrer  L'allaitement maternel est un processus naturel qui offre de nombreux bienfaits tant pour le bébé que pour la mère. Cependant, bien que naturel, l'allaitement n'est pas toujours instinctif et peut nécessiter un apprentissage.",,,13_allaitement.md,fr,normal,,,,
a14_post-partum,post-partum,Post-partum,,,post_partum,"# Le post-partum : récupération et adaptation  La période du post-partum, qui s'étend de l'accouchement jusqu'à environ six à huit semaines après la naissance, est une phase de transition majeure tant sur le plan physique que psychologique. Souvent appelée ""quatrième trimestre"", cette période mérite...",,,14_post_partum.md,fr,normal,,,,
a15_dépression_post-partum,dépression_post-partum,Dépression post-partum,,,post_partum,"# La dépression post-partum : signes et solutions  La dépression post-partum (DPP) est un trouble de l'humeur qui peut survenir après l'accouchement et qui affecte environ 10 à 15% des femmes. Souvent sous-diagnostiquée et entourée de tabous, cette condition médicale sérieuse peut avoir des conséque...",,,15_depression_post_partum.md,fr,normal,,,,
a16_grossesse_et_travail,grossesse_et_travail,Grossesse et travail,,,travail,"# Concilier grossesse et travail : droits et aménagements  La grossesse est une période de grands changements, tant sur le plan physique que psychologique. Lorsqu'on est une femme active professionnellement, concilier ces changements avec les exigences du travail peut représenter un défi.",,,16_grossesse_travail.md,fr,normal,,,,
a17_droits_et_aides,droits_et_aides,Droits et aides pour les futures et jeunes mamans,,,droits,"# Les droits et aides pour les futures et jeunes mamans  La maternité est une période de grands changements qui s'accompagne de nombreuses questions pratiques et administratives. En France, un système complet d'aides et de droits existe pour soutenir les futures et jeunes mamans.",,,17_droits_aides.md,fr,normal,,,,Contenu spécifique France – à adapter pour Maghreb/MENA dans V1
