reminder_id,title_fr,description_fr,category,default_times,default_intensity_levels,week_min,week_max,sources,title_ar,title_en,description_ar,description_en
r01_hydratation,"Hydratation","Buvez au moins 1.5L d'eau par jour. L'eau est essentielle pour le volume sanguin et la prévention des infections urinaires.","nutrition",3,"medium",1,40,"OMS",,,,
r02_marche,"Marche quotidienne","Faites une marche de 30 minutes chaque jour. Cela améliore la circulation et l'humeur.","sport",1,"medium",1,40,"ACOG",,,,
r03_sommeil,"Qualité du sommeil","Visez 8 à 9 heures de sommeil par nuit. Le repos est crucial pour la croissance du bébé.","sommeil",1,"high",1,40,"NHS",,,,
r04_acide_folique,"Acide Folique","N'oubliez pas votre supplément d'acide folique (Vitamine B9) pour prévenir les anomalies du tube neural.","nutrition",1,"high",1,13,"HAS",,,,
r05_vitamine_d,"Vitamine D","Prenez votre supplément de Vitamine D, surtout si vous avez peu d'exposition au soleil.","nutrition",1,"medium",1,40,"HAS",,,,
r06_calcium,"Apport en Calcium","Assurez-vous d'un apport suffisant en calcium (produits laitiers, légumes verts) pour les os du bébé.","nutrition",2,"medium",1,40,"OMS",,,,
r07_fer,"Aliments riches en Fer","Consommez des aliments riches en fer (viande rouge, lentilles, épinards) pour prévenir l'anémie.","nutrition",2,"medium",14,40,"HAS",,,,
r08_perinee_kegel,"Exercices de Kegel","Pratiquez 3 séries d'exercices de Kegel par jour pour renforcer votre périnée.","sport",3,"medium",1,40,"ACOG",,,,
r09_posture,"Posture","Évitez de cambrer le dos. Tenez-vous droite pour soulager les douleurs lombaires.","sport",5,"low",14,40,"NHS",,,,
r10_etirements,"Étirements doux","Faites des étirements doux pour les jambes et le dos avant de vous coucher.","sport",1,"low",14,40,"NHS",,,,
r11_repas_legers,"Repas légers","Mangez de petits repas fréquents pour éviter les nausées et les brûlures d'estomac.","nutrition",5,"medium",1,40,"OMS",,,,
r12_rdv_mensuel,"Rendez-vous mensuel","Vérifiez la date de votre prochaine consultation prénatale mensuelle.","medical",1,"high",1,40,"HAS",,,,
r13_tension,"Surveillance de la tension","Si vous avez un tensiomètre, vérifiez votre tension 2 fois par semaine.","medical",2,"medium",20,40,"ACOG",,,,
r14_mouvements_bebe,"Compter les mouvements","À partir de 24 semaines, soyez attentive aux mouvements de votre bébé.","medical",1,"high",24,40,"ACOG",,,,
r15_valise_maternite,"Valise de maternité","Vérifiez que votre valise de maternité est prête.","preparation",1,"medium",34,40,"NHS",,,,
r16_repos_cote,"Dormir sur le côté gauche","Dormez sur le côté gauche pour optimiser la circulation sanguine vers le bébé.","sommeil",1,"high",28,40,"ACOG",,,,
r17_respiration,"Exercices de respiration","Pratiquez la respiration profonde pour la relaxation et la préparation à l'accouchement.","sport",3,"low",20,40,"NHS",,,,
r18_toxoplasmose,"Précautions Toxoplasmose","Lavez soigneusement les fruits et légumes et évitez la viande crue.","nutrition",3,"high",1,40,"HAS",,,,
r19_partenaire,"Temps avec le partenaire","Prenez un moment pour discuter avec votre partenaire de l'arrivée du bébé.","emotions",1,"low",1,40,"self_care",,,,
r20_lecture,"Lecture éducative","Lisez un chapitre de votre livre sur la grossesse ou un article de l'application.","self_care",1,"low",1,40,"self_care",,,,
