label_fr,topic,week_min,week_max,linked_article_ids,linked_red_flag_ids,keywords_fr,response_fr,suggestion_id,label_ar,label_en,response_ar,response_en
J'ai des nausées matinales,symptomes,1,13,a04_nausées_matinales,ne garde rien,"nausées,vomissements,mal au cœur,matin","Les nausées sont très fréquentes. Essayez de manger de petites quantités souvent. Si vous ne gardez rien, contactez votre médecin (Red Flag : Ne garde rien).",cs001,,,,
Je me sens très fatiguée,symptomes,1,13,a06_sommeil_pendant_la,,"fatigue,sommeil,épuisement",La fatigue est normale au T1. Votre corps travaille beaucoup ! Reposez-vous dès que possible.,cs002,,,,
J'ai des saignements légers,symptomes,1,13,a01_symptômes_de_grossesse,hémorragie,"saignement,sang,perte de sang","Des saignements légers peuvent être normaux, mais contactez toujours votre médecin pour vérifier. Si c'est abondant, c'est une urgence (Red Flag : Hémorragie).",cs003,,,,
J'ai des brûlures d'estomac,symptomes,1,40,a01_symptômes_de_grossesse,,"brûlures,estomac,reflux",Évitez les repas trop gras ou épicés. Mangez lentement et ne vous allongez pas juste après avoir mangé.,cs004,,,,
J'ai des crampes dans les jambes,symptomes,1,40,a01_symptômes_de_grossesse,douleur_mollet,"crampes,jambes,mollet","Les crampes sont souvent dues à un manque de magnésium ou à la circulation. Étirez-vous doucement. Si la douleur est dans un seul mollet, consultez (Red Flag : Douleur mollet).",cs005,,,,
J'ai des douleurs ligamentaires,symptomes,1,40,a01_symptômes_de_grossesse,crampes sévères,"douleur bas ventre,ligaments,tiraillements","Ce sont souvent les ligaments qui s'étirent. Reposez-vous. Si la douleur est très intense et persistante, consultez (Red Flag : Crampes sévères).",cs006,,,,
J'ai des vertiges,symptomes,1,40,a01_symptômes_de_grossesse,perte de conscience,"vertiges,tête qui tourne,malaise","Levez-vous doucement et hydratez-vous. Si vous perdez connaissance, c'est une urgence (Red Flag : Perte de conscience).",cs007,,,,
J'ai mal à la tête,symptomes,1,40,a01_symptômes_de_grossesse,céphalée,"mal de tête,migraine","Prenez du paracétamol (si autorisé) et reposez-vous. Si la douleur est violente et persistante, consultez (Red Flag : Céphalée).",cs008,,,,
Quels aliments éviter au premier trimestre ?,nutrition,1,13,a02_alimentation_pendant_la,,"aliments interdits,toxoplasmose,listériose","Évitez les fromages au lait cru, la charcuterie et la viande/poisson crus. Lavez bien les fruits et légumes.",cs009,,,,
Dois-je prendre de l'acide folique ?,nutrition,1,13,a02_alimentation_pendant_la,,"acide folique,vitamine B9,suppléments","Oui, l'acide folique est essentiel avant et au début de la grossesse. Consultez votre médecin pour la posologie.",cs010,,,,
Puis-je boire du café ?,nutrition,1,40,a02_alimentation_pendant_la,,"café,caféine,thé","Oui, mais limitez votre consommation à 200mg de caféine par jour (environ 2 tasses de café filtre).",cs011,,,,
Comment éviter la listériose ?,nutrition,1,40,a02_alimentation_pendant_la,,"listériose,hygiène alimentaire","Évitez les produits laitiers non pasteurisés, les poissons fumés et les croûtes de fromage. Lavez bien vos mains.",cs012,,,,
Je ne suis pas immunisée contre la toxoplasmose,nutrition,1,40,a02_alimentation_pendant_la,,"toxoplasmose,chat,jardinage","Lavez bien les légumes, cuisez bien la viande et portez des gants pour le jardinage ou la litière du chat.",cs013,,,,
J'ai des envies de sucre,nutrition,1,40,a02_alimentation_pendant_la,,"sucre,fringales,alimentation","Privilégiez les fruits frais ou les dattes pour satisfaire vos envies de sucre, plutôt que les pâtisseries industrielles.",cs014,,,,
Puis-je jeûner pendant le Ramadan ?,nutrition,1,40,a02_alimentation_pendant_la,,"ramadan,jeûne,maghreb",Le jeûne n'est pas recommandé pendant la grossesse. Consultez votre médecin ou un imam pour une décision éclairée et sécurisée.,cs015,,,,
Quand faire la première échographie ?,examens,1,13,a03_examens_médicaux_pendant,,"écho T1,première échographie,datation",L'échographie de datation se fait généralement entre la 11e et la 13e semaine d'aménorrhée.,cs016,,,,
Qu'est-ce que le dépistage de la trisomie 21 ?,examens,1,13,a03_examens_médicaux_pendant,,"trisomie,dépistage,T21",C'est un test combiné (prise de sang + mesure de la clarté nucale à l'écho T1) pour évaluer le risque. Votre médecin vous expliquera les options.,cs017,,,,
J'ai mon premier rendez-vous prénatal,examens,1,13,a03_examens_médicaux_pendant,,"premier rdv,consultation,médecin","Préparez vos questions ! Le médecin confirmera la grossesse, fera un bilan de santé et vous donnera les premières ordonnances.",cs018,,,,
Quels sont les examens obligatoires ?,examens,1,40,a03_examens_médicaux_pendant,,"examens obligatoires,bilan sanguin","Il y a 7 consultations prénatales obligatoires, 3 échographies et des bilans sanguins réguliers.",cs019,,,,
Comment déclarer ma grossesse ?,administratif,1,14,a17_droits_et_aides,,"déclaration,CAF,sécurité sociale",La déclaration doit être faite avant la 14e semaine pour bénéficier de la prise en charge et des aides.,cs020,,,,
Puis-je continuer à faire du sport ?,sport,1,40,a05_exercice_physique_pendant,,"sport,exercice,activité physique","Oui, sauf contre-indication. Privilégiez la marche, la natation ou le yoga prénatal. Évitez les sports à risque de chute.",cs021,,,,
Comment gérer mon stress ?,emotions,1,40,a07_changements_émotionnels_pendant,,"stress,anxiété,peur",Parlez-en à votre partenaire ou à un professionnel. La méditation ou la relaxation peuvent aider.,cs022,,,,
Grossesse et relations sexuelles,sexualite,1,40,a18_grossesse_et_sexualité,,"sexe,intimité,désir","Sauf contre-indication médicale, les relations sexuelles ne sont pas dangereuses. Le désir peut varier.",cs023,,,,
Mon travail est-il dangereux pour le bébé ?,administratif,1,40,a16_grossesse_et_travail,,"travail,congé maternité,poste","Si votre poste présente des risques (produits chimiques, charges lourdes), parlez-en à la médecine du travail. Vous avez des droits.",cs024,,,,
J'ai peur de la fausse couche,emotions,1,13,a07_changements_émotionnels_pendant,,"fausse couche,peur,anxiété",C'est une peur légitime. Le risque diminue après le T1. Concentrez-vous sur les petits pas de votre grossesse.,cs025,,,,
"Je sens mon bébé bouger, est-ce normal ?",mouvements_bebe,16,40,a20_mouvements_du_bébé,ne sens plus le bébé,"mouvements,bébé bouge,premiers coups","Félicitations ! Les premiers mouvements sont souvent ressentis entre 16 et 22 semaines. Si l'activité diminue, consultez (Red Flag : Ne sens plus le bébé).",cs026,,,,
J'ai mal au dos,symptomes,14,40,a01_symptômes_de_grossesse,,"mal au dos,sciatique,lombaire","Portez des chaussures confortables, faites des étirements doux et évitez de porter des charges lourdes. Le yoga prénatal aide beaucoup.",cs027,,,,
J'ai des contractions de Braxton Hicks,symptomes,14,40,a01_symptômes_de_grossesse,contractions_avant_37,"contractions,faux travail,ventre dur","Elles sont normales et indolores. Elles préparent l'utérus. Si elles deviennent régulières et douloureuses avant 37 semaines, consultez (Red Flag : Contractions avant 37).",cs028,,,,
Comment prévenir les vergetures ?,symptomes,14,40,a01_symptômes_de_grossesse,,"vergetures,crème,peau",Hydratez votre peau matin et soir avec une crème ou une huile riche. L'hydratation interne (eau) est aussi cruciale.,cs029,,,,
J'ai des problèmes de sommeil,sommeil,14,40,a06_sommeil_pendant_la,,"insomnie,dormir,position",Dormez sur le côté gauche avec un coussin entre les jambes. Évitez les écrans avant de vous coucher.,cs030,,,,
J'ai des fuites urinaires,symptomes,14,40,a01_symptômes_de_grossesse,,"fuites,pipi,périnée",C'est un signe que votre périnée est sollicité. Commencez les exercices de Kegel et parlez-en à votre sage-femme.,cs031,,,,
J'ai des démangeaisons,symptomes,14,40,a01_symptômes_de_grossesse,prurit_severe,"démangeaisons,ça gratte,peau","Hydratez-vous. Si les démangeaisons sont intenses, surtout aux mains et aux pieds, consultez (Red Flag : Prurit sévère).",cs032,,,,
Dois-je prendre du fer ?,nutrition,14,40,a02_alimentation_pendant_la,,"fer,anémie,suppléments",L'anémie est fréquente au T2. Votre médecin vous prescrira du fer si votre bilan sanguin le justifie.,cs033,,,,
Qu'est-ce que le diabète gestationnel ?,examens,24,28,a03_examens_médicaux_pendant,hypoglycémie,"diabète,sucre,HGPO",C'est une intolérance au glucose qui apparaît pendant la grossesse. Il est dépisté par le test HGPO entre 24 et 28 semaines.,cs034,,,,
Comment gérer ma prise de poids ?,nutrition,14,40,a02_alimentation_pendant_la,,"poids,grossir,régime",Concentrez-vous sur une alimentation équilibrée plutôt que sur un régime. La prise de poids est nécessaire pour le bébé.,cs035,,,,
Quand faire l'échographie du 2ème trimestre ?,examens,20,24,a03_examens_médicaux_pendant,,"écho T2,morphologique,20 semaines",L'échographie morphologique se fait idéalement autour de 22 semaines. Elle vérifie le développement de tous les organes.,cs036,,,,
Qu'est-ce que la pré-éclampsie ?,examens,20,40,a03_examens_médicaux_pendant,hypertension_severe,"pré-éclampsie,tension,protéines",C'est une complication liée à l'hypertension et aux protéines dans les urines. Elle nécessite une surveillance stricte (Red Flag : Hypertension sévère).,cs037,,,,
Puis-je voyager en avion ?,voyage,14,28,a16_grossesse_et_travail,,"avion,voyage,déplacement","Le T2 est le meilleur moment pour voyager. Après 28 semaines, une attestation médicale est souvent requise.",cs038,,,,
Quand commencer les achats pour bébé ?,achats,14,40,a08_liste_dachats_pour,,"achats,liste,poussette",Le T2 est le moment idéal pour commencer. Faites une liste pour ne rien oublier !,cs039,,,,
Comment choisir la maternité ?,preparation,14,24,a09_préparation_à_laccouchement,,"maternité,choix,inscription","Renseignez-vous sur les niveaux (1, 2, 3) et les services proposés. L'inscription doit se faire tôt.",cs040,,,,
Comment faire un projet de naissance ?,preparation,20,35,a09_préparation_à_laccouchement,,"projet de naissance,souhaits,accouchement",C'est un document qui exprime vos souhaits pour l'accouchement. Discutez-en avec votre sage-femme.,cs041,,,,
J'ai des problèmes de concentration,emotions,14,40,a07_changements_émotionnels_pendant,,"concentration,mémoire,cerveau de grossesse","C'est le 'baby brain', c'est normal ! Faites des listes et ne vous mettez pas la pression.",cs042,,,,
