suggestion_id,keywords_fr,keywords_ar,keywords_en,response_fr,response_ar,response_en,category,linked_article_ids,sources,severity
cb_001,"nausées,vomir,mal au cœur","غثيان,قيء,دوخة","nausea,vomit,sick","Mangez un biscuit sec au réveil, buvez du gingembre. Fractionnez les repas.",كلي بسكويت جاف عند الاستيقاظ، اشربي الزنجبيل. قسمي وجباتك.,"Eat a dry biscuit upon waking, drink ginger. Split your meals.",symptomes,art_006,ACOG,low
cb_002,"fatigue,épuisée,dodo","تعب,إرهاق,نوم","tired,exhausted,sleep","C'est normal ! Progestérone au début, poids à la fin. Reposez-vous.",هذا طبيعي! الهرمونات في البداية، والوزن في النهاية. ارتاحي.,"It's normal! Hormones at start, weight at end. Rest.",symptomes,art_011,CNGOF,low
cb_003,"saignement,sang,tache","نزيف,دم,بقع","bleeding,blood,spot",Rouge vif = Urgences. Marron = Souvent bénin mais à surveiller.,أحمر فاتح = طوارئ. بني = غالبًا حميد لكن راقبيه.,Bright red = ER. Brown = Often benign but watch it.,symptomes,,Urgences,high
cb_004,"mouvements,bébé bouge plus","حركة,الطفل لا يتحرك","movements,baby not moving",Si bébé bouge moins : Sucre + Côté gauche 1h. Rien ? Maternité.,إذا قلت الحركة: سكريات + استلقاء على اليسار ساعة. لا شيء؟ المستشفى.,If baby moves less: Sugar + Left side 1h. Nothing? Hospital.,sante,art_020,CNGOF,high
cb_005,"sushi,poisson cru","سوشي,سمك ني","sushi,raw fish",Interdit ! Risque de listéria/parasites. Poisson cuit uniquement.,ممنوع! خطر البكتيريا. سمك مطهو فقط.,Forbidden! Listeria risk. Cooked fish only.,nutrition,art_008,HAS,medium
cb_006,"dattes,manger dattes","تمر,اكل تمر","dates,eat dates","Excellentes ! Énergie. En fin de grossesse, aide le col.",ممتاز! طاقة. في نهاية الحمل يساعد عنق الرحم.,"Excellent! Energy. In late pregnancy, helps cervix.",nutrition,art_002,PubMed,low
cb_007,"sexe,rapport,amour","جماع,علاقة,حب","sex,intercourse,love",Autorisé sauf avis médecin. Pas de danger pour bébé.,مسموح إلا إذا منع الطبيب. لا خطر على الطفل.,Allowed unless doctor says no. No danger for baby.,sante,art_021,ACOG,low
cb_008,"douleur ventre,tiraillement","الم بطن,وجع","belly pain,cramps",Ligaments qui s'étirent. Repos. Si rythmé/fort = Consulter.,تمدد الأربطة. راحة. إذا كان منتظم/قوي = استشيري.,Ligaments stretching. Rest. If rhythmic/strong = Consult.,symptomes,art_012,SageFemme,medium
cb_009,"maux de tête,migraine","صداع,راس","headache,migraine",Si paracétamol ne marche pas + troubles vue = Urgence (Tension).,إذا لم ينفع الباراسيتامول + مشاكل نظر = طوارئ (ضغط).,If paracetamol doesn't work + vision issues = ER (BP).,symptomes,art_027,CNGOF,high
cb_010,"constipation,bloqué","إمساك,معدة","constipation,blocked","Eau Hépar, Figues, Pruneaux, Marche. Pas de laxatif sans avis.",ماء، تين، برقوق، مشي. لا مسهلات بدون استشارة.,"Water, Figs, Prunes, Walk. No laxatives without advice.",symptomes,art_013,Nutrition,low
cb_011,"insomnie,dormir","ارق,نوم","insomnia,sleep","Coussin allaitement, côté gauche, pas d'écran. Courage.",وسادة رضاعة، جانب أيسر، بدون شاشات. شجاعة.,"Nursing pillow, left side, no screens. Courage.",bien_etre,art_018,Sleep,low
cb_012,"poids,kilos,grossir","وزن,كيلو,سمنة","weight,kilos,gain","Moyenne 11-16kg. Mangez qualité, pas quantité.",المعدل 11-16 كغ. كلي نوعية جيدة لا كمية كبيرة.,"Avg 11-16kg. Eat quality, not quantity.",nutrition,,ACOG,low
cb_013,"sport,gym,marche","رياضة,مشي,جيم","sport,gym,walk","Marche, Yoga, Natation : OUI. Chute/Combat : NON.",مشي، يوغا، سباحة: نعم. سقوط/قتال: لا.,"Walk, Yoga, Swim: YES. Fall/Combat: NO.",exercice,art_009,Sport,low
cb_014,"voyage,avion","سفر,طائرة","travel,plane",Ok jusqu'à 36SA. Bas de contention obligatoires.,موافق حتى الأسبوع 36. جوارب ضاغطة ضرورية.,Ok until 36w. Compression stockings mandatory.,sante,art_031,Transport,low
cb_015,"perte eaux,liquide","ماء,سوائل,نزول","water break,fluid",Liquide chaud qui coule ? Maternité direct.,سائل دافئ يسيل؟ للمستشفى فورًا.,Warm fluid leaking? Hospital immediately.,symptomes,art_012,Urgences,high
cb_016,"bouchon muqueux,glaire","سدادة,مخاط","mucous plug,discharge",Perte glaireuse ? Le col travaille. Pas d'urgence.,إفرازات مخاطية؟ عنق الرحم يعمل. ليست طوارئ.,Mucous discharge? Cervix is working. Not urgent.,preparation,art_012,SageFemme,low
cb_017,"fièvre,température","حمى,حرارة","fever,temperature",38°C ? Consultez. Risque infection. Paracétamol ok.,38 درجة؟ استشيري. خطر عدوى. باراسيتامول مسموح.,38°C? Consult. Infection risk. Paracetamol ok.,symptomes,,Medecin,high
cb_018,"fer,anémie","حديد,فقر دم","iron,anemia","Fatiguée ? Lentilles, Viande rouge + Citron. Pas de thé.",تعبة؟ عدس، لحم أحمر + ليمون. لا شاي.,"Tired? Lentils, Red meat + Lemon. No tea.",nutrition,art_014,Nutrition,low
cb_019,"diabète,sucre","سكري,سكر","diabetes,sugar","Régime : Légumes, Protéines, Féculents complets. Marche.",حمية: خضار، بروتينات، نشويات كاملة. مشي.,"Diet: Veggies, Protein, Whole carbs. Walk.",sante,art_017,Endocrino,medium
cb_020,"stress,peur,angoisse","قلق,خوف,توتر","stress,fear,anxiety",Parlez-en. Le stress ponctuel est ok. Respirez.,تحدثي عنه. التوتر المؤقت عادي. تنفسي.,Talk about it. Occasional stress is ok. Breathe.,bien_etre,art_026,Psy,low
cb_021,"valise,maternité","حقيبة,ولادة","bag,maternity","Préparez-la vers 7 mois. Papiers, pyjamas, couches.",حضريها في الشهر السابع. أوراق، ملابس.,"Pack at 7 months. Papers, PJs, diapers.",preparation,art_010,Orga,low
cb_022,"prénom,choix","اسم,اختيار","name,choice",Faites une liste chacun. Vérifiez la signification.,ضعا قائمة. تحققا من المعنى.,Make lists. Check meanings.,bien_etre,,Famille,low
cb_023,"aîné,jalousie","اخ كبير,غيرة","sibling,jealousy",Préparez-le. Petit cadeau de la part du bébé.,حضريه. هدية صغيرة من المولود.,Prepare him. Small gift from baby.,bien_etre,art_028,Psy,low
cb_024,"dos,mal de dos","ظهر,الم","back,pain",Basculez le bassin. Pas de talons. Coussin chaud.,أميلي الحوض. لا كعب عالي. وسادة دافئة.,Tilt pelvis. No heels. Warm pillow.,sante,art_018,Kine,low
cb_025,"jambes lourdes,oedeme","ساقين,انتفاخ","legs,swelling",Jambes en l'air. Eau froide. Bas contention.,ارفعي الساقين. ماء بارد. جوارب ضاغطة.,Legs up. Cold water. Compression stockings.,sante,art_019,Phlebo,low
cb_026,"vergetures,crème","تشققات,كريم","stretch marks,cream","Hydratez matin/soir (Amande, Olive). Génétique joue bcp.",رطبي صباحاً ومساءً. الوراثة تلعب دوراً.,Moisturize am/pm. Genetics play a role.,bien_etre,art_005,Dermato,low
cb_027,"brûlure estomac,rgo","حرقة,معدة","heartburn,gerd",Petits repas. Pas d'épices le soir. Lait froid.,وجبات صغيرة. لا توابل مساءً. حليب بارد.,Small meals. No spice at night. Cold milk.,symptomes,art_032,Nutrition,low
cb_028,"rhésus,groupe sanguin","زمرة,دم","rhesus,blood type","Si vous êtes Rh- et Papa Rh+, vaccin Rophylac nécessaire.",إذا كنت Rh- والأب Rh+، اللقاح ضروري.,"If you are Rh- and Dad Rh+, vaccine needed.",sante,,Bio,medium
cb_029,"hoquet,sursaut","فواق,قفز","hiccups,jump",Sursauts réguliers ? C'est le hoquet de bébé ! Normal.,قفزات منتظمة؟ فواق الطفل! طبيعي.,Regular jumps? Baby hiccups! Normal.,developpement,,Physio,low
