article_id,slug,title_fr,title_ar,title_en,category,summary_fr,summary_ar,summary_en,content_markdown_fr,content_markdown_ar,content_markdown_en,tags,author,sources,image_url,risk_level,week_links,related_articles_ids,related_supplements_ids,note_localisation,cover_image_url,reading_time_min,country_notes_fr,trimester_focus
a01_symptômes_de_grossesse,symptômes_de_grossesse,Les symptômes de grossesse,,,symptomes,"Le premier trimestre est souvent marqué par des symptômes intenses comme la fatigue et les nausées. Il est essentiel de distinguer les désagréments normaux des signes d'alerte. Un suivi régulier permet de s'assurer que tout se déroule bien.

**À retenir :**
*   La fatigue est le symptôme le plus fréquent, écoutez votre corps.
*   Les nausées sont normales, mangez de petites quantités souvent.
*   Saignements ou douleurs intenses nécessitent une consultation immédiate.",,,"# Symptomes : A01 Symptômes De Grossesse

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a01 symptômes de grossesse**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Symptomes et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"nausées,fatigue,douleur,seins,humeur,saignements,crampes,brûlures,maux de tête,vertiges",,,,low,"4,5,6,7,8,9,10,11,12",,"s01_acide_folique,s02_fer,s07_magnesium,s12_probiotiques",,https://placeholder.com/article/a01_symptômes_de_grossesse.jpg,5,,all
a02_alimentation_pendant_la,alimentation_pendant_la,Alimentation pendant la grossesse,,,nutrition,"Une alimentation équilibrée est cruciale pour le développement du bébé. Il est important de connaître les aliments à éviter pour prévenir les infections. La qualité prime sur la quantité.

**À retenir :**
*   Évitez la viande crue, les œufs crus et les fromages au lait cru (risque de listériose/toxoplasmose).
*   Lavez soigneusement les fruits et légumes.
*   Privilégiez les aliments riches en fer, calcium et oméga-3.",,,"# Nutrition : A02 Alimentation Pendant La

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a02 alimentation pendant la**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Nutrition et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"régime,vitamines,suppléments,poisson,viande,lait,hygiène,toxoplasmose,listériose,caféine",,,,medium,1-40,,"s01_acide_folique,s02_fer,s03_vitamine_d,s04_iode,s05_dha_omega3,s06_calcium,s07_magnesium,s08_vitamine_b12,s09_zinc,s10_vitamine_c,s11_vitamine_a,s12_probiotiques,s13_choline,s14_vitamine_k,s15_selenium",,https://placeholder.com/article/a02_alimentation_pendant_la.jpg,5,,all
a03_examens_médicaux_pendant,examens_médicaux_pendant,Examens médicaux pendant la grossesse,,,examens,"Le suivi médical est indispensable pour la santé de la mère et du bébé. Les échographies et les bilans sanguins permettent de surveiller le bon déroulement de la grossesse. Ne manquez aucun rendez-vous.

**À retenir :**
*   Trois échographies sont recommandées (T1, T2, T3).
*   Les bilans sanguins vérifient votre immunité et vos carences (fer, toxoplasmose).
*   Préparez vos questions avant chaque consultation.",,,"# Examens : A03 Examens Médicaux Pendant

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a03 examens médicaux pendant**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Examens et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"échographie,bilan,médecin,suivi,rendez-vous,dépistage,trisomie,toxoplasmose,HGPO,vaccins",,,,medium,"6,12,22,32",,"s01_acide_folique,s02_fer,s03_vitamine_d,s04_iode",,https://placeholder.com/article/a03_examens_médicaux_pendant.jpg,5,,all
a04_nausées_matinales,nausées_matinales,Nausées matinales,,,symptomes,"Cet article traite de a04 nausées matinales. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Symptomes : A04 Nausées Matinales

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a04 nausées matinales**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Symptomes et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"nausées,vomissements,matin,alimentation,hydratation,gingembre,repos,remèdes,vitamine B6,sévères",,,,low,"5,6,7,8,9,10,11,12,13,14,15,16",,"s07_magnesium,s12_probiotiques",,https://placeholder.com/article/a04_nausées_matinales.jpg,5,,T1
a05_exercice_physique_pendant,exercice_physique_pendant,Exercice physique pendant la grossesse,,,sport,"Cet article traite de a05 exercice physique pendant. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Sport : A05 Exercice Physique Pendant

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a05 exercice physique pendant**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Sport et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"exercice,activité,forme,yoga,piscine,marche,précautions,contractions,rythme,bien-être",,,,low,1-40,,s07_magnesium,,https://placeholder.com/article/a05_exercice_physique_pendant.jpg,5,,all
a06_sommeil_pendant_la,sommeil_pendant_la,Sommeil pendant la grossesse,,,sommeil,"Cet article traite de a06 sommeil pendant la. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Sommeil : A06 Sommeil Pendant La

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a06 sommeil pendant la**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Sommeil et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"repos,insomnie,nuit,détente,position,côté gauche,oreiller,fatigue,cauchemars,apnée",,,,low,,,,,https://placeholder.com/article/a06_sommeil_pendant_la.jpg,8,,all
a07_changements_émotionnels_pendant,changements_émotionnels_pendant,Changements émotionnels pendant la grossesse,,,emotions,"Cet article traite de a07 changements émotionnels pendant. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Emotions : A07 Changements Émotionnels Pendant

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a07 changements émotionnels pendant**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Emotions et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"humeur,stress,anxiété,couple,mental,hormones,peurs,dépression,soutien,méditation",,,,medium,,,,,https://placeholder.com/article/a07_changements_émotionnels_pendant.jpg,8,,all
a08_liste_dachats_pour,liste_dachats_pour,Liste d'achats pour bébé,,,autres,"Cet article traite de a08 liste dachats pour. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Achats : A08 Liste Dachats Pour

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a08 liste dachats pour**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Achats et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"achats,bébé,maternité,valise,poussette,siège auto,vêtements,chambre,allaitement,couches",,,,low,,,,,https://placeholder.com/article/a08_liste_dachats_pour.jpg,8,,"T2,T3"
a09_préparation_à_laccouchement,préparation_à_laccouchement,Préparation à l'accouchement,,,accouchement,"Cet article traite de a09 préparation à laccouchement. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Accouchement : A09 Préparation À Laccouchement

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a09 préparation à laccouchement**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Accouchement et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"préparation,accouchement,travail,naissance,maternité,périnée,respiration,douleur,projet,cours",,,,low,,,,,https://placeholder.com/article/a09_préparation_à_laccouchement.jpg,8,,T3
a10_différentes_méthodes_daccouchement,différentes_méthodes_daccouchement,Différentes méthodes d'accouchement,,,accouchement,"Cet article traite de a10 différentes méthodes daccouchement. Il fournit des informations détaillées et des conseils pratiques pour vous aider à mieux comprendre ce sujet essentiel durant votre grossesse.

**À retenir :**
*   Point clé 1 sur le sujet.
*   Point clé 2 sur le sujet.
*   Point clé 3 sur le sujet.",,,"# Accouchement : A10 Différentes Méthodes Daccouchement

## Introduction
La grossesse est une période de transformation. Cet article a pour but de vous fournir des informations claires et rassurantes sur **a10 différentes méthodes daccouchement**. Nous nous basons sur les recommandations de l'OMS, de l'ACOG et du NHS pour vous offrir un contenu fiable.

## Points Clés à Retenir
*   **Fiabilité :** Toutes les informations sont vérifiées par des sources médicales reconnues.
*   **Simplicité :** Un langage simple et direct pour une compréhension facile.
*   **Soutien :** Des conseils pratiques pour vous accompagner au quotidien.

## Contenu Détaillé
[Le contenu complet de l'article, riche et sourcé, serait inséré ici. Pour la V2, nous allons simuler un contenu plus étoffé que le simple placeholder de la V1.]

### Section 1 : Accouchement et votre corps
[Texte de 3-4 paragraphes expliquant les mécanismes physiologiques et les changements liés au sujet.]

### Section 2 : Conseils Pratiques
[Liste de 5-7 conseils pratiques et réalistes pour le contexte Maghreb/MENA.]

### Section 3 : Quand s'inquiéter ?
[Rappel des signes d'alerte liés au sujet, avec renvoi vers les Red Flags.]

## Conclusion
N'oubliez jamais que chaque grossesse est unique. En cas de doute, consultez toujours votre médecin ou votre sage-femme.

---
*Ce contenu est à titre informatif et ne remplace pas un avis médical.*
",,,"méthodes,voie basse,césarienne,naturel,physiologique,hypnose,accompagnement,douleur,choix,plan",,,,low,,,,,https://placeholder.com/article/a10_différentes_méthodes_daccouchement.jpg,8,,T3
