task_id,label_fr,label_ar,label_en,week_min,week_max,type,priority,linked_article_ids,linked_calendar_template_ids,sources
t01_rdv_medecin,"Prendre RDV pour la première consultation prénatale",,,1,4,"medical","high","a03_examens_médicaux_pendant",c01_consultation_mensuelle,"HAS"
t02_acide_folique,"Commencer la prise d'acide folique",,,1,4,"medical","high","a02_alimentation_pendant_la",,"HAS"
t03_declaration,"Faire la déclaration de grossesse (CAF/Sécurité Sociale)",,,5,14,"admin","high","a17_droits_et_aides",,"HAS"
t04_echo_t1,"Prendre RDV pour l'échographie du 1er trimestre (T1)",,,8,12,"medical","high","a03_examens_médicaux_pendant",c02_echographie_t1,"HAS"
t05_bilan_sanguin,"Faire le premier bilan sanguin (toxo, rubéole, groupe sanguin)",,,5,8,"medical","high","a03_examens_médicaux_pendant",c03_bilan_sanguin_t1,"HAS"
t06_alimentation_saine,"Revoir les bases de l'alimentation saine (éviter les risques)",,,1,4,"nutrition","medium","a02_alimentation_pendant_la",,"OMS"
t07_sport_doux,"Commencer une activité physique douce (marche, yoga)",,,1,4,"sport","medium","a05_exercice_physique_pendant",,"ACOG"
t08_choix_maternite,"Commencer à se renseigner sur les maternités",,,8,16,"admin","medium","a09_préparation_à_laccouchement",,"self_care"
t09_parler_partenaire,"Discuter des changements émotionnels avec le partenaire",,,5,12,"emotions","low","a07_changements_émotionnels_pendant",,"self_care"
t10_lecture_grossesse,"Commencer la lecture d'un livre sur la grossesse",,,1,4,"self_care","low","a07_changements_émotionnels_pendant",,"self_care"
t11_inscription_maternite,"S'inscrire à la maternité choisie",,,12,20,"admin","high","a09_préparation_à_laccouchement",,"self_care"
t12_echo_t2,"Prendre RDV pour l'échographie du 2ème trimestre (T2)",,,18,22,"medical","high","a03_examens_médicaux_pendant",c04_echographie_t2,"HAS"
t13_cours_prep,"S'inscrire aux cours de préparation à la naissance",,,16,24,"preparation","medium","a09_préparation_à_laccouchement",c05_cours_preparation,"NHS"
t14_achats_liste,"Faire la liste des achats essentiels pour le bébé",,,14,20,"preparation","medium","a08_liste_dachats_pour",,"self_care"
t15_chambre_bebe,"Commencer à préparer la chambre du bébé",,,20,28,"preparation","low","a08_liste_dachats_pour",,"self_care"
t16_bilan_diabete,"Faire le test de dépistage du diabète gestationnel (HGPO)",,,24,28,"medical","high","a03_examens_médicaux_pendant",c06_test_diabete,"HAS"
t17_vaccin_coqueluche,"Discuter du vaccin contre la coqueluche avec le médecin",,,24,32,"medical","medium","a03_examens_médicaux_pendant",c01_consultation_mensuelle,"HAS"
t18_valise_maternite,"Commencer à préparer la valise de maternité",,,30,34,"preparation","medium","a08_liste_dachats_pour",,"self_care"
t19_echo_t3,"Prendre RDV pour l'échographie du 3ème trimestre (T3)",,,30,34,"medical","high","a03_examens_médicaux_pendant",c07_echographie_t3,"HAS"
t20_rdv_anesthesiste,"Prendre RDV avec l'anesthésiste (obligatoire)",,,32,36,"medical","high","a11_péridurale",c08_rdv_anesthesiste,"HAS"
t21_repos_force,"Commencer à se reposer au maximum (congé prénatal)",,,34,37,"self_care","high","a06_sommeil_pendant_la",,"self_care"
t22_massage_perinee,"Commencer le massage du périnée (si souhaité)",,,36,40,"preparation","medium","a09_préparation_à_laccouchement",,"NHS"
t23_repas_conge,"Préparer des repas à congeler pour le post-partum",,,36,40,"preparation","low","a14_post-partum",,"self_care"
