supplement_id,name_fr,name_ar,name_en,category,short_description_fr,short_description_ar,short_description_en,pregnancy_safety,pregnancy_notes_fr,typical_dose_text_fr,precautions_fr,sources,related_symptoms_ids,related_article_ids,notes_localisation,when_to_take_fr,when_to_take_ar,when_to_take_en,food_sources_local_fr,food_sources_local_ar,food_sources_local_en,contraindications_fr,contraindications_ar,contraindications_en,trimester_relevance
s01_acide_folique,Acide folique (Vitamine B9),,,vitamine,Ce supplément (Acide folique (Vitamine B9)) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de Acide folique (Vitamine B9) doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","OMS 2016, HAS 2017, ACOG 2017","fatigue, anémie","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Aliments riches au Maghreb : légumes verts (épinards, blettes), légumineuses (lentilles, pois chiches), dattes","Le matin, de préférence avant le petit-déjeuner.",,,"Légumes verts à feuilles (épinards, chou), lentilles, pois chiches, agrumes.",,,"Rare, sauf en cas d'allergie connue. Consultez en cas d'antécédents de cancer hormono-dépendant.",,,"T1, T2, T3 (essentiel T1)"
s02_fer,Fer,,,minéral,"Le fer est crucial pour la formation des globules rouges et le transport de l'oxygène, prévenant l'anémie, fréquente chez la femme enceinte.",,,ok,La prise de Fer doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la dose varie en fonction du taux de ferritine. Elle est souvent de 30 à 60 mg de fer élémentaire par jour, généralement à partir du 2ème trimestre.",• Peut causer de la constipation ou des troubles digestifs. • Ne pas prendre en même temps que le calcium ou le thé. • À prendre idéalement à jeun ou avec de la Vitamine C pour une meilleure absorption.,"OMS 2024, ACOG 2021, HAS","fatigue, vertiges, pâleur","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources riches au Maghreb : viandes rouges, lentilles, pois chiches, épinards (mloukhia).","À jeun ou 1h avant/2h après un repas, avec un verre de jus d'orange (vitamine C). Éviter le thé/café.",,,"Viande rouge, lentilles, haricots secs, épinards, dattes (Maghreb).",,,Hémochromatose. Peut causer de la constipation ou des troubles digestifs.,,,"T2, T3 (souvent prescrit après T1)"
s03_vitamine_d,Vitamine D,,,vitamine,"La Vitamine D est indispensable pour l'absorption du calcium, la santé osseuse de la mère et le développement du squelette du bébé.",,,ok,La prise de Vitamine D doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Un surdosage est rare mais possible, ne pas dépasser la dose prescrite. • Ne pas prendre si vous souffrez d'hypercalcémie.","NHS, ACOG, HAS","douleurs osseuses, faiblesse musculaire","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources locales : poissons gras (sardines), œufs. L'exposition au soleil reste la source principale mais peut être limitée par les vêtements.",Au cours d'un repas contenant des graisses pour une meilleure absorption.,,,"Poissons gras (sardines, maquereaux), œufs, lait enrichi. Exposition au soleil modérée.",,,Hypercalcémie. Rare aux doses recommandées.,,,"T1, T2, T3"
s04_iode,Iode,,,minéral,Ce supplément (Iode) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de Iode doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","OMS 2023, ACOG, NHS","fatigue, prise de poids inexpliquée","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources locales : produits de la mer, produits laitiers, œufs. Utiliser du sel iodé pour la cuisine.","Le matin, avec un grand verre d'eau.",,,"Poissons, fruits de mer, produits laitiers, sel iodé.",,,Hyperthyroïdie ou nodules thyroïdiens. Consultez votre médecin.,,,"T1, T2, T3"
s05_dha_omega3,DHA (Oméga-3),,,acide gras,Ce supplément (DHA (Oméga-3)) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de DHA (Oméga-3) doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","ACOG, OMS, NIH","humeur changeante, sécheresse cutanée",a02_alimentation_pendant_la,"Sources locales : sardines, maquereau, thon. Les huiles végétales (lin, colza) sont des sources d'ALA, un précurseur du DHA.",Au cours du repas principal pour éviter les reflux.,,,"Poissons gras (saumon, sardines), noix, graines de lin, huile de colza.",,,Troubles de la coagulation. Consultez en cas de traitement anticoagulant.,,,"T2, T3 (développement cérébral)"
s06_calcium,Calcium,,,minéral,Ce supplément (Calcium) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de Calcium doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","ACOG, NIH","crampes, douleurs osseuses","a01_symptômes_de_grossesse,a02_alimentation_pendant_la","Sources locales : produits laitiers (lait, yaourt, fromage), sardines avec arêtes, légumes verts (blettes, épinards), amandes.",Répartir les prises au cours des repas.,,,"Produits laitiers, légumes verts, amandes, graines de sésame.",,,"Hypercalcémie, calculs rénaux.",,,"T2, T3"
s07_magnesium,Magnésium,,,minéral,Ce supplément (Magnésium) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de Magnésium doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","ODS-NIH, ACOG","crampes, insomnie, stress","a04_nausées_matinales,a05_exercice_physique_pendant","Sources locales : légumineuses (lentilles, haricots), fruits secs (dattes, figues), noix et graines (amandes, sésame), céréales complètes.","Le soir, avant de dormir, pour favoriser la détente.",,,"Chocolat noir, noix, graines, céréales complètes, bananes.",,,Insuffisance rénale sévère.,,,"T1, T2, T3"
s08_vitamine_b12,Vitamine B12,,,vitamine,Ce supplément (Vitamine B12) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,ok,La prise de Vitamine B12 doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","ACOG, ODS-NIH","fatigue, anémie","a01_symptômes_de_grossesse,a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources : produits d'origine animale uniquement (viande, poisson, œufs, produits laitiers).","Le matin, à jeun.",,,"Viande, poisson, œufs, produits laitiers (essentiel pour les végétaliens).",,,Aucune aux doses recommandées.,,,"T1, T2, T3"
s09_zinc,Zinc,,,minéral,Ce supplément (Zinc) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,à_surveiller,La prise de Zinc doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","OMS, ACOG, NIH","faiblesse immunitaire, perte de cheveux","a03_examens_médicaux_pendant,a07_changements_émotionnels_pendant","Sources locales : viandes rouges, légumineuses (lentilles, pois chiches), graines (courge, sésame). L'absorption est meilleure à partir de sources animales.",Au cours d'un repas.,,,"Viande, fruits de mer, légumineuses, graines de courge.",,,Interactions avec le fer et le cuivre. Respecter les doses.,,,"T1, T2, T3"
s10_vitamine_c,Vitamine C,,,vitamine,Ce supplément (Vitamine C) joue un rôle clé dans le soutien de la grossesse et du développement fœtal. Consultez toujours votre médecin avant de le prendre.,,,à_surveiller,La prise de Vitamine C doit être strictement encadrée par votre médecin ou sage-femme. Ne dépassez jamais la dose recommandée. Il est particulièrement important de s'assurer d'un apport suffisant durant la grossesse.,"Selon avis médical, la posologie est variable. Respectez scrupuleusement la prescription de votre professionnel de santé.","• Informez votre médecin de tous les autres médicaments ou suppléments que vous prenez. • En cas de réaction allergique, arrêtez immédiatement et consultez.","OMS 2023, ACOG, ANSES","fatigue, saignements des gencives",a02_alimentation_pendant_la,"Sources locales abondantes : agrumes (oranges, citrons), poivrons, persil, légumes verts.",Au cours des repas.,,,"Agrumes (oranges, citrons), poivrons, kiwis, fraises.",,,Calculs rénaux (à très fortes doses).,,,"T1, T2, T3"
