label_fr,topic,week_min,week_max,linked_article_ids,linked_red_flag_ids,keywords_fr,response_fr,suggestion_id,label_ar,label_en,response_ar,response_en,linked_article_ids.1,linked_red_flag_ids.1,linked_article_ids,linked_red_flag_ids
J'ai des nausées matinales,symptomes,1,13,,,"nausées,vomissements,mal au cœur,matin","Les nausées sont très fréquentes. Essayez de manger de petites quantités souvent. Si vous ne gardez rien, contactez votre médecin (Red Flag : Ne garde rien).",cs001,,,,,,,,
Je me sens très fatiguée,symptomes,1,13,,,"fatigue,sommeil,épuisement",La fatigue est normale au T1. Votre corps travaille beaucoup ! Reposez-vous dès que possible.,cs002,,,,,,,,
J'ai des saignements légers,symptomes,1,13,,,"saignement,sang,perte de sang","Des saignements légers peuvent être normaux, mais contactez toujours votre médecin pour vérifier. Si c'est abondant, c'est une urgence (Red Flag : Hémorragie).",cs003,,,,,,,,
J'ai des brûlures d'estomac,symptomes,1,40,,,"brûlures,estomac,reflux",Évitez les repas trop gras ou épicés. Mangez lentement et ne vous allongez pas juste après avoir mangé.,cs004,,,,,,,,
J'ai des crampes dans les jambes,symptomes,1,40,,,"crampes,jambes,mollet","Les crampes sont souvent dues à un manque de magnésium ou à la circulation. Étirez-vous doucement. Si la douleur est dans un seul mollet, consultez (Red Flag : Douleur mollet).",cs005,,,,,,,,
J'ai des douleurs ligamentaires,symptomes,1,40,,,"douleur bas ventre,ligaments,tiraillements","Ce sont souvent les ligaments qui s'étirent. Reposez-vous. Si la douleur est très intense et persistante, consultez (Red Flag : Crampes sévères).",cs006,,,,,,,,
J'ai des vertiges,symptomes,1,40,,,"vertiges,tête qui tourne,malaise","Levez-vous doucement et hydratez-vous. Si vous perdez connaissance, c'est une urgence (Red Flag : Perte de conscience).",cs007,,,,,,,,
J'ai mal à la tête,symptomes,1,40,,,"mal de tête,migraine","Prenez du paracétamol (si autorisé) et reposez-vous. Si la douleur est violente et persistante, consultez (Red Flag : Céphalée).",cs008,,,,,,,,
Quels aliments éviter au premier trimestre ?,nutrition,1,13,,,"aliments interdits,toxoplasmose,listériose","Évitez les fromages au lait cru, la charcuterie et la viande/poisson crus. Lavez bien les fruits et légumes.",cs009,,,,,,,,
Dois-je prendre de l'acide folique ?,nutrition,1,13,,,"acide folique,vitamine B9,suppléments","Oui, l'acide folique est essentiel avant et au début de la grossesse. Consultez votre médecin pour la posologie.",cs010,,,,,,,,
Puis-je boire du café ?,nutrition,1,40,,,"café,caféine,thé","Oui, mais limitez votre consommation à 200mg de caféine par jour (environ 2 tasses de café filtre).",cs011,,,,,,,,
Comment éviter la listériose ?,nutrition,1,40,,,"listériose,hygiène alimentaire","Évitez les produits laitiers non pasteurisés, les poissons fumés et les croûtes de fromage. Lavez bien vos mains.",cs012,,,,,,,,
Je ne suis pas immunisée contre la toxoplasmose,nutrition,1,40,,,"toxoplasmose,chat,jardinage","Lavez bien les légumes, cuisez bien la viande et portez des gants pour le jardinage ou la litière du chat.",cs013,,,,,,,,
J'ai des envies de sucre,nutrition,1,40,,,"sucre,fringales,alimentation","Privilégiez les fruits frais ou les dattes pour satisfaire vos envies de sucre, plutôt que les pâtisseries industrielles.",cs014,,,,,,,,
Puis-je jeûner pendant le Ramadan ?,nutrition,1,40,,,"ramadan,jeûne,maghreb",Le jeûne n'est pas recommandé pendant la grossesse. Consultez votre médecin ou un imam pour une décision éclairée et sécurisée.,cs015,,,,,,,,
Quand faire la première échographie ?,examens,1,13,,,"écho T1,première échographie,datation",L'échographie de datation se fait généralement entre la 11e et la 13e semaine d'aménorrhée.,cs016,,,,,,,,
Qu'est-ce que le dépistage de la trisomie 21 ?,examens,1,13,,,"trisomie,dépistage,T21",C'est un test combiné (prise de sang + mesure de la clarté nucale à l'écho T1) pour évaluer le risque. Votre médecin vous expliquera les options.,cs017,,,,,,,,
J'ai mon premier rendez-vous prénatal,examens,1,13,,,"premier rdv,consultation,médecin","Préparez vos questions ! Le médecin confirmera la grossesse, fera un bilan de santé et vous donnera les premières ordonnances.",cs018,,,,,,,,
Quels sont les examens obligatoires ?,examens,1,40,,,"examens obligatoires,bilan sanguin","Il y a 7 consultations prénatales obligatoires, 3 échographies et des bilans sanguins réguliers.",cs019,,,,,,,,
Comment déclarer ma grossesse ?,administratif,1,14,,,"déclaration,CAF,sécurité sociale",La déclaration doit être faite avant la 14e semaine pour bénéficier de la prise en charge et des aides.,cs020,,,,,,,,
Puis-je continuer à faire du sport ?,sport,1,40,,,"sport,exercice,activité physique","Oui, sauf contre-indication. Privilégiez la marche, la natation ou le yoga prénatal. Évitez les sports à risque de chute.",cs021,,,,,,,,
Comment gérer mon stress ?,emotions,1,40,,,"stress,anxiété,peur",Parlez-en à votre partenaire ou à un professionnel. La méditation ou la relaxation peuvent aider.,cs022,,,,,,,,
Grossesse et relations sexuelles,sexualite,1,40,,,"sexe,intimité,désir","Sauf contre-indication médicale, les relations sexuelles ne sont pas dangereuses. Le désir peut varier.",cs023,,,,,,,,
Mon travail est-il dangereux pour le bébé ?,administratif,1,40,,,"travail,congé maternité,poste","Si votre poste présente des risques (produits chimiques, charges lourdes), parlez-en à la médecine du travail. Vous avez des droits.",cs024,,,,,,,,
J'ai peur de la fausse couche,emotions,1,13,,,"fausse couche,peur,anxiété",C'est une peur légitime. Le risque diminue après le T1. Concentrez-vous sur les petits pas de votre grossesse.,cs025,,,,,,,,
"Je sens mon bébé bouger, est-ce normal ?",mouvements_bebe,16,40,,,"mouvements,bébé bouge,premiers coups","Félicitations ! Les premiers mouvements sont souvent ressentis entre 16 et 22 semaines. Si l'activité diminue, consultez (Red Flag : Ne sens plus le bébé).",cs026,,,,,,,,
J'ai mal au dos,symptomes,14,40,,,"mal au dos,sciatique,lombaire","Portez des chaussures confortables, faites des étirements doux et évitez de porter des charges lourdes. Le yoga prénatal aide beaucoup.",cs027,,,,,,,,
J'ai des contractions de Braxton Hicks,symptomes,14,40,,,"contractions,faux travail,ventre dur","Elles sont normales et indolores. Elles préparent l'utérus. Si elles deviennent régulières et douloureuses avant 37 semaines, consultez (Red Flag : Contractions avant 37).",cs028,,,,,,,,
Comment prévenir les vergetures ?,symptomes,14,40,,,"vergetures,crème,peau",Hydratez votre peau matin et soir avec une crème ou une huile riche. L'hydratation interne (eau) est aussi cruciale.,cs029,,,,,,,,
J'ai des problèmes de sommeil,sommeil,14,40,,,"insomnie,dormir,position",Dormez sur le côté gauche avec un coussin entre les jambes. Évitez les écrans avant de vous coucher.,cs030,,,,,,,,
J'ai des fuites urinaires,symptomes,14,40,,,"fuites,pipi,périnée",C'est un signe que votre périnée est sollicité. Commencez les exercices de Kegel et parlez-en à votre sage-femme.,cs031,,,,,,,,
J'ai des démangeaisons,symptomes,14,40,,,"démangeaisons,ça gratte,peau","Hydratez-vous. Si les démangeaisons sont intenses, surtout aux mains et aux pieds, consultez (Red Flag : Prurit sévère).",cs032,,,,,,,,
Dois-je prendre du fer ?,nutrition,14,40,,,"fer,anémie,suppléments",L'anémie est fréquente au T2. Votre médecin vous prescrira du fer si votre bilan sanguin le justifie.,cs033,,,,,,,,
Qu'est-ce que le diabète gestationnel ?,examens,24,28,,,"diabète,sucre,HGPO",C'est une intolérance au glucose qui apparaît pendant la grossesse. Il est dépisté par le test HGPO entre 24 et 28 semaines.,cs034,,,,,,,,
Comment gérer ma prise de poids ?,nutrition,14,40,,,"poids,grossir,régime",Concentrez-vous sur une alimentation équilibrée plutôt que sur un régime. La prise de poids est nécessaire pour le bébé.,cs035,,,,,,,,
Quand faire l'échographie du 2ème trimestre ?,examens,20,24,,,"écho T2,morphologique,20 semaines",L'échographie morphologique se fait idéalement autour de 22 semaines. Elle vérifie le développement de tous les organes.,cs036,,,,,,,,
Qu'est-ce que la pré-éclampsie ?,examens,20,40,,,"pré-éclampsie,tension,protéines",C'est une complication liée à l'hypertension et aux protéines dans les urines. Elle nécessite une surveillance stricte (Red Flag : Hypertension sévère).,cs037,,,,,,,,
Puis-je voyager en avion ?,voyage,14,28,,,"avion,voyage,déplacement","Le T2 est le meilleur moment pour voyager. Après 28 semaines, une attestation médicale est souvent requise.",cs038,,,,,,,,
Quand commencer les achats pour bébé ?,achats,14,40,,,"achats,liste,poussette",Le T2 est le moment idéal pour commencer. Faites une liste pour ne rien oublier !,cs039,,,,,,,,
Comment choisir la maternité ?,preparation,14,24,,,"maternité,choix,inscription","Renseignez-vous sur les niveaux (1, 2, 3) et les services proposés. L'inscription doit se faire tôt.",cs040,,,,,,,,
Comment faire un projet de naissance ?,preparation,20,35,,,"projet de naissance,souhaits,accouchement",C'est un document qui exprime vos souhaits pour l'accouchement. Discutez-en avec votre sage-femme.,cs041,,,,,,,,
J'ai des problèmes de concentration,emotions,14,40,,,"concentration,mémoire,cerveau de grossesse","C'est le 'baby brain', c'est normal ! Faites des listes et ne vous mettez pas la pression.",cs042,,,,,,,,
Comment préparer mon congé maternité ?,administratif,14,40,,,"congé maternité,droits,travail",Renseignez-vous sur les dates de début et de fin. Le congé est obligatoire.,cs043,,,,,,,,
J'ai peur de l'accouchement,emotions,14,40,,,"peur,accouchement,douleur",Les cours de préparation à la naissance sont faits pour ça. Parlez de vos peurs à votre sage-femme.,cs044,,,,,,,,
Puis-je faire de la natation ?,sport,14,40,,,"natation,piscine,sport aquatique","Oui, c'est excellent pour soulager le dos et les jambes. Assurez-vous que l'eau est bien traitée.",cs045,,,,,,,,
Mon ventre est-il assez gros ?,symptomes,14,40,,,"ventre,taille,comparaison",Chaque ventre est différent. Le médecin vérifie la hauteur utérine à chaque consultation. Faites-lui confiance.,cs046,,,,,,,,
Comment choisir le prénom ?,emotions,14,40,,,"prénom,choix,idées",C'est un choix personnel et important. Prenez votre temps et discutez-en en couple.,cs047,,,,,,,,
Comment parler au bébé in utero ?,emotions,20,40,,,"parler au bébé,entendre,lien","Le bébé entend à partir de 20 semaines. Parlez-lui, chantez-lui, cela renforce le lien affectif.",cs048,,,,,,,,
J'ai des hémorroïdes,symptomes,14,40,,,"hémorroïdes,constipation,douleur",Augmentez les fibres et l'eau pour éviter la constipation. Parlez-en à votre médecin pour un traitement local.,cs049,,,,,,,,
Comment gérer les maux de dos ?,sport,14,40,,,"mal au dos,posture,étirement",Évitez de cambrer. Les étirements doux et le port d'une ceinture de soutien peuvent soulager.,cs050,,,,,,,,
Je ne sens plus mon bébé bouger,mouvements_bebe,28,40,,,"bébé bouge pas,moins de mouvements,activité fœtale","C'est une urgence. Allongez-vous sur le côté gauche et concentrez-vous. Si vous ne sentez rien en 2 heures, contactez immédiatement la maternité (Red Flag : Ne sens plus le bébé).",cs051,,,,,,,,
J'ai des douleurs intenses au ventre,symptomes,28,40,,,"douleur ventre,contractions,mal bas ventre","Si les douleurs sont régulières et ne passent pas au repos, chronométrez-les. Si elles sont très intenses, contactez les urgences (Red Flag : Crampes sévères).",cs052,,,,,,,,
J'ai perdu les eaux,accouchement,28,40,,,"perte des eaux,liquide chaud,ça coule","Si le liquide est clair, notez l'heure et contactez la maternité. Si c'est avant 37 semaines, c'est une urgence (Red Flag : Rupture prématurée).",cs053,,,,,,,,
J'ai des maux de tête violents,symptomes,28,40,,,"mal de tête,migraine,tension","Si le mal de tête est violent et ne passe pas, vérifiez votre tension. C'est un signe possible de pré-éclampsie (Red Flag : Céphalée).",cs054,,,,,,,,
J'ai de la fièvre,symptomes,28,40,,,"fièvre,38.5,infection",Prenez du paracétamol et contactez votre médecin. Une fièvre élevée peut être dangereuse pour le bébé (Red Flag : Température élevée).,cs055,,,,,,,,
J'ai des difficultés à respirer,symptomes,28,40,,,"essoufflement,souffle court,respiration","C'est souvent dû à l'utérus qui pousse sur les poumons. Reposez-vous. Si c'est soudain et intense, consultez (Red Flag : Essoufflement).",cs056,,,,,,,,
J'ai des contractions régulières,accouchement,37,40,,,"contractions,travail,accouchement","Si elles sont régulières (toutes les 5 minutes) et douloureuses, il est temps de contacter la maternité.",cs057,,,,,,,,
J'ai perdu le bouchon muqueux,accouchement,37,40,,,"bouchon muqueux,perte,signe","C'est un signe que le col se modifie, mais l'accouchement peut ne pas être imminent. Contactez votre sage-femme.",cs058,,,,,,,,
Mon bébé est en siège,accouchement,32,40,,,"siège,bébé mal positionné,retournement",Le médecin peut proposer une version par manœuvre externe (VME) ou planifier une césarienne. Discutez des options.,cs059,,,,,,,,
J'ai des douleurs au foie,symptomes,28,40,,,"douleur foie,mal sous les côtes,douleur épigastrique",C'est un signe d'alerte. Contactez immédiatement la maternité (Red Flag : Douleur foie).,cs060,,,,,,,,
Comment se préparer à l'accouchement ?,preparation,28,40,,,"préparation,cours,respiration",Suivez les cours de préparation à la naissance. Pratiquez la relaxation et les exercices de respiration.,cs061,,,,,,,,
Comment faire ma valise de maternité ?,preparation,30,40,,,"valise,maternité,affaires bébé","Préparez une valise pour vous, une pour le bébé et une pour le papa. Elle doit être prête vers 36 semaines.",cs062,,,,,,,,
Quel est le rôle du partenaire pendant l'accouchement ?,preparation,28,40,,,"partenaire,papa,soutien","Le partenaire est un soutien émotionnel et physique essentiel. Il peut masser, encourager et communiquer avec l'équipe médicale.",cs063,,,,,,,,
Puis-je avoir une péridurale ?,accouchement,28,40,,,"péridurale,douleur,anesthésie","Oui, si vous le souhaitez et si l'anesthésiste est disponible. C'est un choix personnel.",cs064,,,,,,,,
Quelles sont les méthodes d'accouchement ?,accouchement,28,40,,,"accouchement,naturel,césarienne,voie basse","Il existe l'accouchement par voie basse (naturel, avec ou sans péridurale) et la césarienne. Discutez de votre projet de naissance.",cs065,,,,,,,,
Comment gérer la douleur sans péridurale ?,accouchement,28,40,,,"douleur,sans péridurale,méthodes naturelles","Les techniques de respiration, l'hypnose, le bain ou le ballon peuvent aider à gérer la douleur.",cs066,,,,,,,,
Comment se passe une césarienne ?,accouchement,28,40,,,"césarienne,opération,cicatrice",C'est une intervention chirurgicale. Elle peut être programmée ou décidée en urgence. Le rétablissement est plus long.,cs067,,,,,,,,
Quand faire l'échographie du 3ème trimestre ?,examens,30,34,,,"écho T3,32 semaines,dernière échographie","Elle se fait autour de 32 semaines. Elle vérifie la croissance, la position du bébé et le placenta.",cs068,,,,,,,,
Comment choisir le pédiatre ?,achats,28,40,,,"pédiatre,médecin bébé,choix",Demandez des recommandations à votre gynécologue ou à d'autres parents. Il est important de le choisir avant la naissance.,cs069,,,,,,,,
J'ai des œdèmes,symptomes,28,40,,,"gonflement,œdèmes,pieds gonflés","Surélevez vos jambes et évitez de rester debout trop longtemps. Si le gonflement est soudain au visage, consultez (Red Flag : Gonflement visage).",cs070,,,,,,,,
Comment se passe le post-partum ?,post-partum,40,52,,,"post-partum,après accouchement,suites de couches",C'est une période de récupération physique et émotionnelle. Soyez patiente avec vous-même.,cs071,,,,,,,,
J'ai des pensées négatives après l'accouchement,post-partum,40,52,,,"baby blues,dépression,tristesse","Le baby blues est fréquent. Si la tristesse persiste au-delà de 2 semaines, consultez un professionnel (Red Flag : Pensées suicidaires).",cs072,,,,,,,,
Je veux allaiter,post-partum,40,52,,,"allaitement,sein,lait maternel",C'est un choix merveilleux. Renseignez-vous sur les bonnes positions et n'hésitez pas à demander de l'aide à la maternité.,cs073,,,,,,,,
Comment prendre soin de mon périnée ?,post-partum,40,52,,,"périnée,rééducation,cicatrice",La rééducation est essentielle après l'accouchement. Commencez les exercices de Kegel dès que possible (avec l'accord de votre médecin).,cs074,,,,,,,,
